"MEdarkgreen" "MEdarkred" "MEdarkturquoise" "MEdarkorange" "MEgreenyellow" "MEsalmon" "MEblue" "MEpurple" "MEorange" "MEgreen" "MEgrey60" "MEred" "MElightyellow" "MEblack" "MEcyan" "MElightcyan" "MEroyalblue" "MElightgreen" "MEwhite" "MEbrown" "MEdarkgrey" "MEmidnightblue" "MEyellow" "MEmagenta" "MEpink"
"LH38_Z1_1" -0.0219101391631222 -0.0644063092428246 0.101802189896816 -0.037694145037723 -0.023079786299783 -0.0438404391565006 0.119699692499992 0.0905437078904636 0.0113276984492881 -0.0452993815436888 -0.0268757153484112 0.15005256472104 0.0310536073522056 -0.0168292444307878 -0.026982877413421 -0.012799353859667 -0.000888481508897548 -0.0678270308904511 0.287082841700191 -0.0287071596471874 -0.0220312669224086 -0.0192401248467132 0.0384820441993228 -0.0314051703016763 -0.0369167656840009
"LH38_Z1_2" -0.0127282822685043 -0.062526571700921 -0.0864287293098868 -0.0335547627585517 -0.0317649231982147 -0.0490218342333089 0.0907269171321522 0.0969208332445719 -0.0187281099252035 -0.0388435876622515 -0.0203303907508121 0.160519656063323 0.0898525910744475 -0.0154988110205602 -0.00976892669045537 0.00422925374396133 0.000404217202316604 -0.0891721663657949 0.0179096598279809 -0.0302943454782267 -0.010009454984946 -0.0219550196188679 -0.0668204453564539 -0.0372563727188687 -0.00574687558491949
"LH38_Z1_3" -0.00710112653399483 -0.0440319938377458 0.0768491559997796 -0.0420478995466457 -0.0312234401855591 -0.0401222762330845 0.106681716803161 -0.027998850650678 0.000116444893580961 -0.0474637726953946 -0.036221002906483 0.142028986030409 0.0392904912755171 -0.0165239799422163 -0.0237245876420946 0.00543941968458217 -0.00190095177386565 -0.0963836090247838 0.0345349463798525 -0.030008198382582 -0.0160454549199309 -0.0183454121761065 0.119441524048815 -0.0186650172251978 -0.0299197123931769
"LH38_Z2_1" -0.0279209845526836 -0.000202619327617514 0.117541851171308 -0.0264024248311241 -0.0272896632030033 -0.0482879129391891 0.035475204310437 0.120865643995839 -0.014837147396041 -0.0349543569651596 -0.0280876406721114 0.151588496922626 0.0295160238574391 -0.0194238212972992 -0.0254635246098084 0.0225861918905517 0.00691027639156336 -0.0630792128395413 -0.0538193171887874 -0.0358386666534368 -0.0230264866327073 -0.0258042580377446 0.0255465668785921 -0.0407105786778952 -0.111676387263217
"LH38_Z2_2" -0.00150405706867347 -0.0177192849833614 -0.0562576536168777 -0.0244370997417459 -0.0331627408588151 -0.0457537453023484 -0.00590919988110365 0.05548888147396 -0.0236248049501026 -0.0259637429263636 -0.0199697247168148 0.165870410795591 0.15248243637542 -0.0132049718592862 -0.00489932215955506 0.00171179937295163 0.00079544923231194 -0.0591281646915103 -0.0838259070677995 -0.033954647021183 -0.0169293532085569 -0.0162610043461106 -0.0697197110838062 -0.034331998911166 -0.0491157229741026
"LH38_Z2_3" -0.0183201012376682 -0.000306164831971852 -0.0471602254170768 -0.0202594317388606 -0.0308234528098652 -0.0519686022631598 -0.037430627011557 -0.0607752676000585 -0.0184551921491517 -0.0381118279357632 -0.0296471652178646 0.162458264375503 0.118545111140698 -0.0154285884051339 -0.0133562044313306 -0.0189558981860157 0.0142928407491099 -0.0586528795354719 -0.0887990967342359 -0.0319004776664766 -0.0210950454898132 -0.00998706970061724 0.172949895328539 -0.0226800000339288 -0.0519332333158488
"LH38_Z3_1" 0.00123811539851516 0.019263797654633 -0.0544532888395565 -0.00799712071071986 -0.0237720739862908 -0.0339881473886369 -0.0619952122905963 0.00499938581428553 -0.0166466384008505 -0.0271218467067286 -0.0127418213884811 0.170319684127206 -0.104770326524994 -0.00848925799353426 0.00330212544539101 -0.0815390894308666 0.0246791877639355 0.0811486022287895 -0.00344529834229237 -0.0338741331941404 -0.0139946409752188 -0.0155816829065299 -0.0877423421806121 -0.0212285935262416 -0.0141733228965574
"LH38_Z3_2" 0.0082575473785643 0.0301093938901641 -0.0181916912719892 -0.0237762552511319 -0.0221489767459709 -0.0233682342667131 -0.0432164112095233 -0.0530844637015255 -0.0249047675286502 0.00408720757153704 0.0509126715737553 0.138861533895791 -0.0295053419960551 -0.000334270484342774 -0.00796908311622132 -0.07508864234629 0.0208416494567778 0.0795089686302702 0.0221073929578423 -0.0325560543897124 -0.0204800488874014 -0.0144643162626529 -0.0629571563573477 0.00318309358573031 0.0425419822665733
"LH38_Z3_3" -0.0128462892481297 -0.0485197617421252 -0.0854045475472914 -0.0237688096285765 -0.0156040552546335 -0.0285621715042212 -0.0739545514292679 -0.104403315969945 -0.0233329858049482 -0.0356110016759802 -0.0193378433142872 0.160312114950594 -0.0797019347787107 0.00593068338229376 -0.00942319372441421 -0.105848665858799 0.0279548384237465 0.0781967084628485 -0.0330635245952191 -0.0228775008683896 -0.0222209504580707 0.00317396754822337 0.16818996998205 0.0111386254500368 0.081567331429799
"LH39_Z1_1" -0.0234178631322686 -0.0618975284973107 0.016775780334829 -0.0358497670532027 -0.0303571528323853 -0.0503282644727303 0.0611450878869272 0.0887118150719818 -0.00907470467471347 -0.0432183421519928 -0.020489198946973 0.147915083744182 -0.0160327185957568 -0.0193590815249591 -0.0212259379199209 -0.00156122623992209 -0.00072657473783348 -0.0602517845200878 -0.00720500159181882 -0.0318589410162155 -0.0246802775199808 -0.0216314912628265 0.00602264994320781 -0.0283964295874381 -0.0163519763187971
