nodeName	altName	nodeAttr[nodesPresent, ]
Zm00001d001781	NA	black
Zm00001d001902	NA	black
Zm00001d001914	NA	black
Zm00001d001926	NA	black
Zm00001d001973	NA	black
Zm00001d002160	NA	black
Zm00001d002239	NA	black
Zm00001d002305	NA	black
Zm00001d002314	NA	black
Zm00001d002317	NA	black
Zm00001d002350	NA	black
Zm00001d002383	NA	black
Zm00001d002432	NA	black
Zm00001d002492	NA	black
Zm00001d002506	NA	black
Zm00001d002613	NA	black
Zm00001d002750	NA	black
Zm00001d002751	NA	black
Zm00001d002854	NA	black
Zm00001d002875	NA	black
Zm00001d003118	NA	black
Zm00001d003524	NA	black
Zm00001d003636	NA	black
Zm00001d003637	NA	black
Zm00001d003646	NA	black
Zm00001d003669	NA	black
Zm00001d003705	NA	black
Zm00001d003719	NA	black
Zm00001d003774	NA	black
Zm00001d003781	NA	black
Zm00001d003865	NA	black
Zm00001d003969	NA	black
Zm00001d003982	NA	black
Zm00001d004018	NA	black
Zm00001d004168	NA	black
Zm00001d004245	NA	black
Zm00001d004347	NA	black
Zm00001d004365	NA	black
Zm00001d004434	NA	black
Zm00001d004440	NA	black
Zm00001d004463	NA	black
Zm00001d004519	NA	black
Zm00001d004607	NA	black
Zm00001d004652	NA	black
Zm00001d004815	NA	black
Zm00001d004854	NA	black
Zm00001d004951	NA	black
Zm00001d005561	NA	black
Zm00001d005629	NA	black
Zm00001d005639	NA	black
Zm00001d005668	NA	black
Zm00001d005778	NA	black
Zm00001d005838	NA	black
Zm00001d005946	NA	black
Zm00001d006170	NA	black
Zm00001d006172	NA	black
Zm00001d006248	NA	black
Zm00001d006293	NA	black
Zm00001d006386	NA	black
Zm00001d006494	NA	black
Zm00001d006589	NA	black
Zm00001d006690	NA	black
Zm00001d006692	NA	black
Zm00001d006739	NA	black
Zm00001d006833	NA	black
Zm00001d006857	NA	black
Zm00001d007077	NA	black
Zm00001d007078	NA	black
Zm00001d007093	NA	black
Zm00001d007106	NA	black
Zm00001d007135	NA	black
Zm00001d007142	NA	black
Zm00001d007190	NA	black
Zm00001d007210	NA	black
Zm00001d007315	NA	black
Zm00001d007375	NA	black
Zm00001d007427	NA	black
Zm00001d007487	NA	black
Zm00001d007488	NA	black
Zm00001d007542	NA	black
Zm00001d007720	NA	black
Zm00001d007743	NA	black
Zm00001d007793	NA	black
Zm00001d007918	NA	black
Zm00001d007931	NA	black
Zm00001d008269	NA	black
