nodeName	altName	nodeAttr[nodesPresent, ]
Zm00001d001779	NA	blue
Zm00001d001791	NA	blue
Zm00001d001835	NA	blue
Zm00001d001852	NA	blue
Zm00001d001978	NA	blue
Zm00001d001979	NA	blue
Zm00001d001987	NA	blue
Zm00001d002090	NA	blue
Zm00001d002097	NA	blue
Zm00001d002127	NA	blue
Zm00001d002178	NA	blue
Zm00001d002235	NA	blue
Zm00001d002282	NA	blue
Zm00001d002286	NA	blue
Zm00001d002332	NA	blue
Zm00001d002333	NA	blue
Zm00001d002348	NA	blue
Zm00001d002441	NA	blue
Zm00001d002498	NA	blue
Zm00001d002524	NA	blue
Zm00001d002568	NA	blue
Zm00001d002621	NA	blue
Zm00001d002629	NA	blue
Zm00001d002630	NA	blue
Zm00001d002639	NA	blue
Zm00001d002640	NA	blue
Zm00001d002642	NA	blue
Zm00001d002679	NA	blue
Zm00001d002694	NA	blue
Zm00001d002754	NA	blue
Zm00001d002756	NA	blue
Zm00001d002772	NA	blue
Zm00001d002778	NA	blue
Zm00001d002806	NA	blue
Zm00001d002811	NA	blue
Zm00001d002825	NA	blue
Zm00001d002826	NA	blue
Zm00001d002848	NA	blue
Zm00001d002853	NA	blue
Zm00001d002856	NA	blue
Zm00001d002884	NA	blue
Zm00001d002905	NA	blue
Zm00001d002967	NA	blue
Zm00001d002989	NA	blue
Zm00001d003017	NA	blue
Zm00001d003037	NA	blue
Zm00001d003039	NA	blue
Zm00001d003068	NA	blue
Zm00001d003086	NA	blue
Zm00001d003108	NA	blue
Zm00001d003160	NA	blue
Zm00001d003198	NA	blue
Zm00001d003222	NA	blue
Zm00001d003297	NA	blue
Zm00001d003306	NA	blue
Zm00001d003309	NA	blue
Zm00001d003320	NA	blue
Zm00001d003401	NA	blue
Zm00001d003418	NA	blue
Zm00001d003432	NA	blue
Zm00001d003545	NA	blue
Zm00001d003575	NA	blue
Zm00001d003598	NA	blue
Zm00001d003621	NA	blue
Zm00001d003660	NA	blue
Zm00001d003664	NA	blue
Zm00001d003707	NA	blue
Zm00001d003710	NA	blue
Zm00001d003762	NA	blue
Zm00001d003806	NA	blue
Zm00001d003994	NA	blue
Zm00001d004007	NA	blue
Zm00001d004200	NA	blue
Zm00001d004203	NA	blue
Zm00001d004208	NA	blue
Zm00001d004215	NA	blue
Zm00001d004231	NA	blue
Zm00001d004298	NA	blue
Zm00001d004309	NA	blue
Zm00001d004310	NA	blue
Zm00001d004375	NA	blue
Zm00001d004413	NA	blue
Zm00001d004446	NA	blue
Zm00001d004480	NA	blue
Zm00001d004484	NA	blue
Zm00001d004486	NA	blue
Zm00001d004496	NA	blue
Zm00001d004509	NA	blue
Zm00001d004553	NA	blue
Zm00001d004621	NA	blue
Zm00001d004671	NA	blue
Zm00001d004751	NA	blue
Zm00001d004775	NA	blue
Zm00001d004855	NA	blue
Zm00001d004917	NA	blue
Zm00001d004929	NA	blue
Zm00001d005161	NA	blue
Zm00001d005298	NA	blue
Zm00001d005317	NA	blue
Zm00001d005343	NA	blue
Zm00001d005396	NA	blue
Zm00001d005410	NA	blue
Zm00001d005423	NA	blue
Zm00001d005453	NA	blue
Zm00001d005454	NA	blue
Zm00001d005472	NA	blue
Zm00001d005498	NA	blue
Zm00001d005607	NA	blue
Zm00001d005638	NA	blue
Zm00001d005663	NA	blue
Zm00001d005799	NA	blue
Zm00001d005833	NA	blue
Zm00001d005869	NA	blue
Zm00001d005905	NA	blue
Zm00001d005925	NA	blue
Zm00001d005945	NA	blue
Zm00001d005971	NA	blue
Zm00001d006002	NA	blue
Zm00001d006025	NA	blue
Zm00001d006028	NA	blue
Zm00001d006096	NA	blue
Zm00001d006180	NA	blue
Zm00001d006242	NA	blue
Zm00001d006343	NA	blue
Zm00001d006345	NA	blue
Zm00001d006350	NA	blue
Zm00001d006428	NA	blue
Zm00001d006480	NA	blue
Zm00001d006493	NA	blue
Zm00001d006549	NA	blue
Zm00001d006595	NA	blue
Zm00001d006625	NA	blue
Zm00001d006705	NA	blue
Zm00001d006751	NA	blue
Zm00001d006798	NA	blue
Zm00001d006874	NA	blue
Zm00001d006920	NA	blue
Zm00001d006950	NA	blue
Zm00001d007080	NA	blue
Zm00001d007094	NA	blue
Zm00001d007117	NA	blue
Zm00001d007119	NA	blue
Zm00001d007139	NA	blue
Zm00001d007189	NA	blue
Zm00001d007241	NA	blue
Zm00001d007288	NA	blue
Zm00001d007308	NA	blue
Zm00001d007311	NA	blue
Zm00001d007347	NA	blue
Zm00001d007360	NA	blue
Zm00001d007383	NA	blue
Zm00001d007391	NA	blue
Zm00001d007399	NA	blue
Zm00001d007400	NA	blue
Zm00001d007420	NA	blue
Zm00001d007433	NA	blue
Zm00001d007534	NA	blue
Zm00001d007602	NA	blue
Zm00001d007650	NA	blue
Zm00001d007661	NA	blue
Zm00001d007782	NA	blue
Zm00001d007783	NA	blue
Zm00001d007831	NA	blue
Zm00001d007840	NA	blue
Zm00001d007864	NA	blue
Zm00001d007935	NA	blue
Zm00001d008198	NA	blue
Zm00001d008219	NA	blue
Zm00001d008248	NA	blue
Zm00001d008266	NA	blue
Zm00001d008279	NA	blue
Zm00001d008300	NA	blue
Zm00001d008312	NA	blue
Zm00001d008334	NA	blue
Zm00001d008338	NA	blue
Zm00001d008389	NA	blue
Zm00001d008435	NA	blue
Zm00001d008440	NA	blue
Zm00001d008453	NA	blue
Zm00001d008515	NA	blue
Zm00001d008535	NA	blue
Zm00001d008600	NA	blue
Zm00001d008601	NA	blue
Zm00001d008640	NA	blue
Zm00001d008700	NA	blue
Zm00001d008739	NA	blue
Zm00001d008742	NA	blue
Zm00001d008744	NA	blue
Zm00001d008799	NA	blue
Zm00001d008817	NA	blue
Zm00001d008907	NA	blue
Zm00001d008941	NA	blue
Zm00001d008946	NA	blue
Zm00001d008950	NA	blue
Zm00001d008987	NA	blue
Zm00001d009081	NA	blue
Zm00001d009088	NA	blue
Zm00001d009106	NA	blue
Zm00001d009189	NA	blue
Zm00001d009265	NA	blue
Zm00001d009373	NA	blue
Zm00001d009398	NA	blue
Zm00001d009425	NA	blue
Zm00001d009474	NA	blue
Zm00001d009484	NA	blue
Zm00001d009506	NA	blue
Zm00001d009553	NA	blue
Zm00001d009562	NA	blue
Zm00001d009669	NA	blue
Zm00001d009686	NA	blue
Zm00001d009702	NA	blue
Zm00001d009820	NA	blue
Zm00001d009889	NA	blue
Zm00001d009938	NA	blue
Zm00001d009961	NA	blue
Zm00001d009993	NA	blue
Zm00001d010001	NA	blue
Zm00001d010033	NA	blue
Zm00001d010175	NA	blue
Zm00001d010190	NA	blue
Zm00001d010217	NA	blue
Zm00001d010295	NA	blue
Zm00001d010309	NA	blue
Zm00001d010440	NA	blue
Zm00001d010446	NA	blue
Zm00001d010449	NA	blue
Zm00001d010451	NA	blue
Zm00001d010521	NA	blue
Zm00001d010564	NA	blue
Zm00001d010574	NA	blue
Zm00001d010578	NA	blue
Zm00001d010716	NA	blue
Zm00001d010722	NA	blue
Zm00001d010724	NA	blue
Zm00001d010736	NA	blue
Zm00001d010832	NA	blue
Zm00001d010856	NA	blue
Zm00001d010907	NA	blue
Zm00001d010974	NA	blue
Zm00001d010976	NA	blue
Zm00001d011036	NA	blue
Zm00001d011063	NA	blue
Zm00001d011073	NA	blue
Zm00001d011089	NA	blue
Zm00001d011093	NA	blue
Zm00001d011119	NA	blue
Zm00001d011135	NA	blue
Zm00001d011309	NA	blue
Zm00001d011369	NA	blue
Zm00001d011447	NA	blue
Zm00001d011455	NA	blue
Zm00001d011490	NA	blue
Zm00001d011555	NA	blue
Zm00001d011560	NA	blue
Zm00001d011579	NA	blue
Zm00001d011588	NA	blue
Zm00001d011594	NA	blue
Zm00001d011625	NA	blue
Zm00001d011669	NA	blue
Zm00001d011720	NA	blue
Zm00001d011739	NA	blue
Zm00001d011769	NA	blue
Zm00001d011789	NA	blue
Zm00001d011805	NA	blue
Zm00001d011813	NA	blue
Zm00001d011872	NA	blue
Zm00001d011925	NA	blue
Zm00001d011926	NA	blue
Zm00001d011972	NA	blue
Zm00001d012007	NA	blue
Zm00001d012047	NA	blue
Zm00001d012088	NA	blue
Zm00001d012096	NA	blue
Zm00001d012099	NA	blue
Zm00001d012103	NA	blue
Zm00001d012142	NA	blue
Zm00001d012158	NA	blue
Zm00001d012167	NA	blue
Zm00001d012246	NA	blue
Zm00001d012291	NA	blue
Zm00001d012295	NA	blue
Zm00001d012381	NA	blue
Zm00001d012430	NA	blue
Zm00001d012431	NA	blue
Zm00001d012432	NA	blue
Zm00001d012469	NA	blue
Zm00001d012511	NA	blue
Zm00001d012535	NA	blue
Zm00001d012604	NA	blue
Zm00001d012614	NA	blue
Zm00001d012624	NA	blue
Zm00001d012674	NA	blue
Zm00001d012700	NA	blue
Zm00001d012701	NA	blue
Zm00001d012707	NA	blue
Zm00001d012822	NA	blue
Zm00001d012873	NA	blue
Zm00001d012898	NA	blue
Zm00001d012917	NA	blue
Zm00001d012972	NA	blue
Zm00001d012982	NA	blue
Zm00001d013154	NA	blue
Zm00001d013302	NA	blue
Zm00001d013327	NA	blue
Zm00001d013331	NA	blue
Zm00001d013380	NA	blue
Zm00001d013390	NA	blue
Zm00001d013391	NA	blue
Zm00001d013399	NA	blue
Zm00001d013551	NA	blue
Zm00001d013553	NA	blue
Zm00001d013583	NA	blue
Zm00001d013595	NA	blue
Zm00001d013702	NA	blue
Zm00001d013716	NA	blue
Zm00001d013746	NA	blue
Zm00001d013828	NA	blue
Zm00001d013869	NA	blue
Zm00001d013926	NA	blue
Zm00001d013956	NA	blue
Zm00001d013960	NA	blue
Zm00001d013977	NA	blue
Zm00001d013997	NA	blue
Zm00001d014097	NA	blue
Zm00001d014139	NA	blue
Zm00001d014162	NA	blue
Zm00001d014286	NA	blue
Zm00001d014341	NA	blue
Zm00001d014368	NA	blue
Zm00001d014413	NA	blue
Zm00001d014435	NA	blue
Zm00001d014467	NA	blue
Zm00001d014559	NA	blue
Zm00001d014565	NA	blue
Zm00001d014568	NA	blue
Zm00001d014569	NA	blue
Zm00001d014587	NA	blue
Zm00001d014617	NA	blue
Zm00001d014652	NA	blue
Zm00001d014701	NA	blue
Zm00001d014721	NA	blue
Zm00001d014744	NA	blue
Zm00001d014852	NA	blue
Zm00001d014862	NA	blue
Zm00001d014900	NA	blue
Zm00001d014903	NA	blue
Zm00001d014911	NA	blue
Zm00001d014925	NA	blue
Zm00001d014928	NA	blue
Zm00001d014977	NA	blue
Zm00001d015033	NA	blue
Zm00001d015059	NA	blue
Zm00001d015131	NA	blue
Zm00001d015135	NA	blue
Zm00001d015140	NA	blue
Zm00001d015174	NA	blue
Zm00001d015184	NA	blue
Zm00001d015209	NA	blue
Zm00001d015297	NA	blue
Zm00001d015307	NA	blue
Zm00001d015334	NA	blue
Zm00001d015361	NA	blue
Zm00001d015364	NA	blue
Zm00001d015431	NA	blue
Zm00001d015470	NA	blue
Zm00001d015477	NA	blue
Zm00001d015638	NA	blue
Zm00001d015707	NA	blue
Zm00001d015721	NA	blue
Zm00001d015724	NA	blue
Zm00001d015742	NA	blue
Zm00001d015746	NA	blue
Zm00001d015921	NA	blue
Zm00001d015969	NA	blue
Zm00001d015977	NA	blue
Zm00001d015997	NA	blue
Zm00001d016070	NA	blue
Zm00001d016098	NA	blue
Zm00001d016174	NA	blue
Zm00001d016185	NA	blue
Zm00001d016271	NA	blue
Zm00001d016277	NA	blue
Zm00001d016281	NA	blue
Zm00001d016301	NA	blue
Zm00001d016308	NA	blue
Zm00001d016382	NA	blue
Zm00001d016408	NA	blue
Zm00001d016512	NA	blue
Zm00001d016542	NA	blue
Zm00001d016606	NA	blue
Zm00001d016648	NA	blue
Zm00001d016649	NA	blue
Zm00001d016683	NA	blue
Zm00001d016693	NA	blue
Zm00001d016697	NA	blue
Zm00001d016735	NA	blue
Zm00001d016741	NA	blue
Zm00001d016756	NA	blue
Zm00001d016760	NA	blue
Zm00001d016799	NA	blue
Zm00001d016804	NA	blue
Zm00001d016814	NA	blue
Zm00001d016838	NA	blue
Zm00001d016844	NA	blue
Zm00001d016850	NA	blue
Zm00001d016874	NA	blue
Zm00001d016918	NA	blue
Zm00001d016950	NA	blue
Zm00001d017097	NA	blue
Zm00001d017114	NA	blue
Zm00001d017119	NA	blue
Zm00001d017126	NA	blue
Zm00001d017158	NA	blue
Zm00001d017205	NA	blue
Zm00001d017209	NA	blue
Zm00001d017240	NA	blue
Zm00001d017256	NA	blue
Zm00001d017263	NA	blue
Zm00001d017264	NA	blue
Zm00001d017377	NA	blue
Zm00001d017390	NA	blue
Zm00001d017391	NA	blue
Zm00001d017441	NA	blue
Zm00001d017454	NA	blue
Zm00001d017455	NA	blue
Zm00001d017474	NA	blue
Zm00001d017480	NA	blue
Zm00001d017485	NA	blue
Zm00001d017503	NA	blue
Zm00001d017522	NA	blue
Zm00001d017530	NA	blue
Zm00001d017551	NA	blue
Zm00001d017559	NA	blue
Zm00001d017582	NA	blue
Zm00001d017597	NA	blue
Zm00001d017639	NA	blue
Zm00001d017640	NA	blue
Zm00001d017671	NA	blue
Zm00001d017691	NA	blue
Zm00001d017700	NA	blue
Zm00001d017702	NA	blue
Zm00001d017708	NA	blue
Zm00001d017721	NA	blue
Zm00001d017788	NA	blue
Zm00001d017789	NA	blue
Zm00001d017810	NA	blue
Zm00001d017826	NA	blue
Zm00001d017852	NA	blue
Zm00001d017853	NA	blue
Zm00001d017866	NA	blue
Zm00001d017951	NA	blue
Zm00001d017955	NA	blue
Zm00001d017989	NA	blue
Zm00001d018029	NA	blue
