nodeName	altName	nodeAttr[nodesPresent, ]
Zm00001d001811	NA	brown
Zm00001d001838	NA	brown
Zm00001d001911	NA	brown
Zm00001d002031	NA	brown
Zm00001d002032	NA	brown
Zm00001d002033	NA	brown
Zm00001d002043	NA	brown
Zm00001d002044	NA	brown
Zm00001d002074	NA	brown
Zm00001d002088	NA	brown
Zm00001d002125	NA	brown
Zm00001d002144	NA	brown
Zm00001d002179	NA	brown
Zm00001d002181	NA	brown
Zm00001d002279	NA	brown
Zm00001d002328	NA	brown
Zm00001d002369	NA	brown
Zm00001d002392	NA	brown
Zm00001d002465	NA	brown
Zm00001d002511	NA	brown
Zm00001d002595	NA	brown
Zm00001d002597	NA	brown
Zm00001d002610	NA	brown
Zm00001d002647	NA	brown
Zm00001d002652	NA	brown
Zm00001d002738	NA	brown
Zm00001d002788	NA	brown
Zm00001d002821	NA	brown
Zm00001d002952	NA	brown
Zm00001d003027	NA	brown
Zm00001d003070	NA	brown
Zm00001d003090	NA	brown
Zm00001d003168	NA	brown
Zm00001d003271	NA	brown
Zm00001d003278	NA	brown
Zm00001d003332	NA	brown
Zm00001d003393	NA	brown
Zm00001d003544	NA	brown
Zm00001d003620	NA	brown
Zm00001d003638	NA	brown
Zm00001d003649	NA	brown
Zm00001d003667	NA	brown
Zm00001d003693	NA	brown
Zm00001d003728	NA	brown
Zm00001d003736	NA	brown
Zm00001d003756	NA	brown
Zm00001d003790	NA	brown
Zm00001d003791	NA	brown
Zm00001d003793	NA	brown
Zm00001d003796	NA	brown
Zm00001d004095	NA	brown
Zm00001d004146	NA	brown
Zm00001d004162	NA	brown
Zm00001d004216	NA	brown
Zm00001d004230	NA	brown
Zm00001d004338	NA	brown
Zm00001d004343	NA	brown
Zm00001d004415	NA	brown
Zm00001d004471	NA	brown
Zm00001d004526	NA	brown
Zm00001d004527	NA	brown
Zm00001d004675	NA	brown
Zm00001d004836	NA	brown
Zm00001d004852	NA	brown
Zm00001d004890	NA	brown
Zm00001d004912	NA	brown
Zm00001d004915	NA	brown
Zm00001d005001	NA	brown
Zm00001d005002	NA	brown
Zm00001d005015	NA	brown
Zm00001d005040	NA	brown
Zm00001d005121	NA	brown
Zm00001d005194	NA	brown
Zm00001d005212	NA	brown
Zm00001d005381	NA	brown
Zm00001d005407	NA	brown
Zm00001d005416	NA	brown
Zm00001d005422	NA	brown
Zm00001d005429	NA	brown
Zm00001d005451	NA	brown
Zm00001d005600	NA	brown
Zm00001d005622	NA	brown
Zm00001d005676	NA	brown
Zm00001d005682	NA	brown
Zm00001d005736	NA	brown
Zm00001d005748	NA	brown
Zm00001d005752	NA	brown
Zm00001d005779	NA	brown
Zm00001d005804	NA	brown
Zm00001d005805	NA	brown
Zm00001d005908	NA	brown
Zm00001d005924	NA	brown
Zm00001d005949	NA	brown
Zm00001d005962	NA	brown
Zm00001d005993	NA	brown
Zm00001d006043	NA	brown
Zm00001d006044	NA	brown
Zm00001d006099	NA	brown
Zm00001d006106	NA	brown
Zm00001d006229	NA	brown
Zm00001d006260	NA	brown
Zm00001d006340	NA	brown
Zm00001d006355	NA	brown
Zm00001d006387	NA	brown
Zm00001d006458	NA	brown
Zm00001d006522	NA	brown
Zm00001d006568	NA	brown
Zm00001d006592	NA	brown
Zm00001d006631	NA	brown
Zm00001d006647	NA	brown
Zm00001d006672	NA	brown
Zm00001d006685	NA	brown
Zm00001d006810	NA	brown
Zm00001d006825	NA	brown
Zm00001d006859	NA	brown
Zm00001d006864	NA	brown
Zm00001d006886	NA	brown
Zm00001d006887	NA	brown
Zm00001d006888	NA	brown
Zm00001d006913	NA	brown
Zm00001d006941	NA	brown
Zm00001d006944	NA	brown
Zm00001d007026	NA	brown
Zm00001d007046	NA	brown
Zm00001d007050	NA	brown
Zm00001d007081	NA	brown
Zm00001d007082	NA	brown
Zm00001d007124	NA	brown
Zm00001d007144	NA	brown
Zm00001d007163	NA	brown
Zm00001d007223	NA	brown
Zm00001d007245	NA	brown
Zm00001d007295	NA	brown
Zm00001d007323	NA	brown
Zm00001d007324	NA	brown
Zm00001d007394	NA	brown
Zm00001d007405	NA	brown
Zm00001d007424	NA	brown
Zm00001d007437	NA	brown
Zm00001d007461	NA	brown
Zm00001d007499	NA	brown
Zm00001d007533	NA	brown
Zm00001d007548	NA	brown
Zm00001d007549	NA	brown
Zm00001d007553	NA	brown
Zm00001d007585	NA	brown
Zm00001d007592	NA	brown
Zm00001d007604	NA	brown
Zm00001d007630	NA	brown
Zm00001d007646	NA	brown
Zm00001d007655	NA	brown
Zm00001d007670	NA	brown
Zm00001d007672	NA	brown
Zm00001d007682	NA	brown
Zm00001d007818	NA	brown
Zm00001d007835	NA	brown
Zm00001d007837	NA	brown
Zm00001d007853	NA	brown
Zm00001d007875	NA	brown
Zm00001d007894	NA	brown
Zm00001d007912	NA	brown
Zm00001d007932	NA	brown
Zm00001d007945	NA	brown
Zm00001d007964	NA	brown
Zm00001d007965	NA	brown
Zm00001d008223	NA	brown
Zm00001d008329	NA	brown
Zm00001d008332	NA	brown
Zm00001d008333	NA	brown
Zm00001d008382	NA	brown
Zm00001d008383	NA	brown
Zm00001d008397	NA	brown
Zm00001d008398	NA	brown
Zm00001d008417	NA	brown
Zm00001d008441	NA	brown
Zm00001d008458	NA	brown
Zm00001d008466	NA	brown
Zm00001d008484	NA	brown
