nodeName	altName	nodeAttr[nodesPresent, ]
Zm00001d001813	NA	greenyellow
Zm00001d001827	NA	greenyellow
Zm00001d001841	NA	greenyellow
Zm00001d001850	NA	greenyellow
Zm00001d001961	NA	greenyellow
Zm00001d002735	NA	greenyellow
Zm00001d002814	NA	greenyellow
Zm00001d002815	NA	greenyellow
Zm00001d002817	NA	greenyellow
Zm00001d002843	NA	greenyellow
Zm00001d003002	NA	greenyellow
Zm00001d003003	NA	greenyellow
Zm00001d003115	NA	greenyellow
Zm00001d003199	NA	greenyellow
Zm00001d003312	NA	greenyellow
Zm00001d003357	NA	greenyellow
Zm00001d003445	NA	greenyellow
Zm00001d003457	NA	greenyellow
Zm00001d003530	NA	greenyellow
Zm00001d003550	NA	greenyellow
Zm00001d003554	NA	greenyellow
Zm00001d004088	NA	greenyellow
Zm00001d004115	NA	greenyellow
Zm00001d004137	NA	greenyellow
Zm00001d004249	NA	greenyellow
Zm00001d004252	NA	greenyellow
Zm00001d004282	NA	greenyellow
Zm00001d004293	NA	greenyellow
Zm00001d004348	NA	greenyellow
Zm00001d004366	NA	greenyellow
Zm00001d004482	NA	greenyellow
Zm00001d004483	NA	greenyellow
Zm00001d004547	NA	greenyellow
Zm00001d004581	NA	greenyellow
Zm00001d004620	NA	greenyellow
Zm00001d004687	NA	greenyellow
Zm00001d004885	NA	greenyellow
Zm00001d005030	NA	greenyellow
Zm00001d005073	NA	greenyellow
Zm00001d005246	NA	greenyellow
Zm00001d005279	NA	greenyellow
Zm00001d005337	NA	greenyellow
Zm00001d005532	NA	greenyellow
Zm00001d005536	NA	greenyellow
Zm00001d005621	NA	greenyellow
Zm00001d005692	NA	greenyellow
Zm00001d005713	NA	greenyellow
Zm00001d005863	NA	greenyellow
Zm00001d005952	NA	greenyellow
Zm00001d006069	NA	greenyellow
Zm00001d006117	NA	greenyellow
Zm00001d006126	NA	greenyellow
Zm00001d006140	NA	greenyellow
Zm00001d006143	NA	greenyellow
Zm00001d006162	NA	greenyellow
Zm00001d006476	NA	greenyellow
Zm00001d006905	NA	greenyellow
Zm00001d006914	NA	greenyellow
Zm00001d006929	NA	greenyellow
Zm00001d007022	NA	greenyellow
Zm00001d007411	NA	greenyellow
Zm00001d007450	NA	greenyellow
Zm00001d007462	NA	greenyellow
Zm00001d007470	NA	greenyellow
Zm00001d007513	NA	greenyellow
Zm00001d007595	NA	greenyellow
Zm00001d007659	NA	greenyellow
Zm00001d007688	NA	greenyellow
Zm00001d007729	NA	greenyellow
Zm00001d007744	NA	greenyellow
Zm00001d007765	NA	greenyellow
Zm00001d007790	NA	greenyellow
Zm00001d007825	NA	greenyellow
Zm00001d007893	NA	greenyellow
Zm00001d008179	NA	greenyellow
Zm00001d008226	NA	greenyellow
Zm00001d008347	NA	greenyellow
Zm00001d008367	NA	greenyellow
Zm00001d008437	NA	greenyellow
Zm00001d008455	NA	greenyellow
Zm00001d008456	NA	greenyellow
Zm00001d008477	NA	greenyellow
Zm00001d008488	NA	greenyellow
Zm00001d008489	NA	greenyellow
Zm00001d008623	NA	greenyellow
Zm00001d008642	NA	greenyellow
Zm00001d008646	NA	greenyellow
Zm00001d008692	NA	greenyellow
Zm00001d008750	NA	greenyellow
Zm00001d008849	NA	greenyellow
Zm00001d009261	NA	greenyellow
Zm00001d009342	NA	greenyellow
Zm00001d009588	NA	greenyellow
Zm00001d009609	NA	greenyellow
Zm00001d010428	NA	greenyellow
Zm00001d010439	NA	greenyellow
Zm00001d010560	NA	greenyellow
Zm00001d010763	NA	greenyellow
Zm00001d010874	NA	greenyellow
Zm00001d011165	NA	greenyellow
Zm00001d011181	NA	greenyellow
Zm00001d011253	NA	greenyellow
