nodeName	altName	nodeAttr[nodesPresent, ]
Zm00001d001999	NA	lightyellow
Zm00001d002353	NA	lightyellow
Zm00001d002496	NA	lightyellow
Zm00001d002519	NA	lightyellow
Zm00001d002687	NA	lightyellow
Zm00001d002773	NA	lightyellow
Zm00001d003099	NA	lightyellow
Zm00001d003650	NA	lightyellow
Zm00001d004075	NA	lightyellow
Zm00001d004614	NA	lightyellow
Zm00001d004681	NA	lightyellow
Zm00001d004700	NA	lightyellow
Zm00001d004705	NA	lightyellow
Zm00001d005011	NA	lightyellow
Zm00001d005148	NA	lightyellow
Zm00001d006111	NA	lightyellow
Zm00001d006332	NA	lightyellow
Zm00001d006516	NA	lightyellow
Zm00001d006774	NA	lightyellow
Zm00001d006775	NA	lightyellow
Zm00001d006841	NA	lightyellow
Zm00001d006878	NA	lightyellow
Zm00001d006879	NA	lightyellow
Zm00001d007345	NA	lightyellow
Zm00001d007351	NA	lightyellow
Zm00001d007726	NA	lightyellow
Zm00001d007728	NA	lightyellow
Zm00001d007832	NA	lightyellow
Zm00001d008355	NA	lightyellow
Zm00001d008496	NA	lightyellow
Zm00001d008503	NA	lightyellow
Zm00001d008622	NA	lightyellow
Zm00001d009626	NA	lightyellow
Zm00001d010038	NA	lightyellow
Zm00001d010112	NA	lightyellow
Zm00001d010256	NA	lightyellow
Zm00001d010520	NA	lightyellow
Zm00001d010670	NA	lightyellow
Zm00001d010805	NA	lightyellow
Zm00001d011067	NA	lightyellow
Zm00001d011274	NA	lightyellow
Zm00001d011303	NA	lightyellow
Zm00001d011350	NA	lightyellow
Zm00001d011465	NA	lightyellow
Zm00001d011466	NA	lightyellow
Zm00001d011979	NA	lightyellow
Zm00001d012176	NA	lightyellow
Zm00001d012274	NA	lightyellow
Zm00001d012326	NA	lightyellow
Zm00001d012383	NA	lightyellow
Zm00001d012438	NA	lightyellow
Zm00001d012477	NA	lightyellow
Zm00001d012697	NA	lightyellow
Zm00001d012789	NA	lightyellow
Zm00001d012847	NA	lightyellow
Zm00001d013071	NA	lightyellow
Zm00001d013089	NA	lightyellow
Zm00001d013226	NA	lightyellow
Zm00001d013598	NA	lightyellow
Zm00001d013717	NA	lightyellow
Zm00001d013979	NA	lightyellow
Zm00001d014294	NA	lightyellow
Zm00001d014459	NA	lightyellow
Zm00001d014583	NA	lightyellow
Zm00001d014932	NA	lightyellow
Zm00001d014984	NA	lightyellow
Zm00001d015202	NA	lightyellow
Zm00001d016019	NA	lightyellow
Zm00001d016550	NA	lightyellow
Zm00001d017008	NA	lightyellow
Zm00001d017111	NA	lightyellow
Zm00001d017528	NA	lightyellow
Zm00001d017782	NA	lightyellow
Zm00001d017785	NA	lightyellow
Zm00001d017834	NA	lightyellow
Zm00001d017952	NA	lightyellow
Zm00001d018089	NA	lightyellow
Zm00001d018097	NA	lightyellow
Zm00001d018149	NA	lightyellow
Zm00001d018159	NA	lightyellow
Zm00001d018193	NA	lightyellow
Zm00001d018475	NA	lightyellow
Zm00001d018482	NA	lightyellow
Zm00001d018487	NA	lightyellow
Zm00001d018490	NA	lightyellow
Zm00001d018601	NA	lightyellow
Zm00001d018603	NA	lightyellow
Zm00001d018791	NA	lightyellow
Zm00001d018926	NA	lightyellow
