nodeName	altName	nodeAttr[nodesPresent, ]
Zm00001d001796	NA	pink
Zm00001d001800	NA	pink
Zm00001d001895	NA	pink
Zm00001d001909	NA	pink
Zm00001d001913	NA	pink
Zm00001d002100	NA	pink
Zm00001d002175	NA	pink
Zm00001d002184	NA	pink
Zm00001d002285	NA	pink
Zm00001d002372	NA	pink
Zm00001d002433	NA	pink
Zm00001d002435	NA	pink
Zm00001d002440	NA	pink
Zm00001d002573	NA	pink
Zm00001d002602	NA	pink
Zm00001d002682	NA	pink
Zm00001d002878	NA	pink
Zm00001d002901	NA	pink
Zm00001d003265	NA	pink
Zm00001d003414	NA	pink
Zm00001d003468	NA	pink
Zm00001d003495	NA	pink
Zm00001d003571	NA	pink
Zm00001d003590	NA	pink
Zm00001d003606	NA	pink
Zm00001d003670	NA	pink
Zm00001d003841	NA	pink
Zm00001d003941	NA	pink
Zm00001d003948	NA	pink
Zm00001d003950	NA	pink
Zm00001d004121	NA	pink
Zm00001d004222	NA	pink
Zm00001d004270	NA	pink
Zm00001d004287	NA	pink
Zm00001d004401	NA	pink
Zm00001d004573	NA	pink
Zm00001d004716	NA	pink
Zm00001d004881	NA	pink
Zm00001d005019	NA	pink
Zm00001d005064	NA	pink
Zm00001d005114	NA	pink
Zm00001d005178	NA	pink
Zm00001d005241	NA	pink
Zm00001d005301	NA	pink
Zm00001d005329	NA	pink
Zm00001d005394	NA	pink
Zm00001d005431	NA	pink
Zm00001d005513	NA	pink
Zm00001d005765	NA	pink
Zm00001d005766	NA	pink
Zm00001d005798	NA	pink
Zm00001d005849	NA	pink
Zm00001d006142	NA	pink
Zm00001d006199	NA	pink
Zm00001d006329	NA	pink
Zm00001d006337	NA	pink
Zm00001d006342	NA	pink
Zm00001d006502	NA	pink
Zm00001d006503	NA	pink
Zm00001d006561	NA	pink
Zm00001d006688	NA	pink
Zm00001d006749	NA	pink
Zm00001d006918	NA	pink
Zm00001d007035	NA	pink
Zm00001d007062	NA	pink
Zm00001d007070	NA	pink
Zm00001d007076	NA	pink
Zm00001d007213	NA	pink
Zm00001d007318	NA	pink
Zm00001d007320	NA	pink
Zm00001d007599	NA	pink
Zm00001d007610	NA	pink
Zm00001d007763	NA	pink
Zm00001d007789	NA	pink
Zm00001d007849	NA	pink
Zm00001d007857	NA	pink
Zm00001d007929	NA	pink
Zm00001d008250	NA	pink
Zm00001d008374	NA	pink
Zm00001d008428	NA	pink
Zm00001d008433	NA	pink
Zm00001d008617	NA	pink
Zm00001d008708	NA	pink
Zm00001d008726	NA	pink
Zm00001d008925	NA	pink
Zm00001d009131	NA	pink
Zm00001d009140	NA	pink
Zm00001d009181	NA	pink
Zm00001d009270	NA	pink
Zm00001d009416	NA	pink
Zm00001d009450	NA	pink
Zm00001d009532	NA	pink
Zm00001d009608	NA	pink
Zm00001d009756	NA	pink
Zm00001d009800	NA	pink
Zm00001d009840	NA	pink
Zm00001d009890	NA	pink
Zm00001d009912	NA	pink
Zm00001d009990	NA	pink
Zm00001d010053	NA	pink
Zm00001d010137	NA	pink
Zm00001d010174	NA	pink
Zm00001d010234	NA	pink
Zm00001d010504	NA	pink
Zm00001d010618	NA	pink
Zm00001d010703	NA	pink
Zm00001d010756	NA	pink
Zm00001d010825	NA	pink
Zm00001d011034	NA	pink
Zm00001d011038	NA	pink
Zm00001d011087	NA	pink
Zm00001d011099	NA	pink
Zm00001d011103	NA	pink
Zm00001d011195	NA	pink
Zm00001d011275	NA	pink
Zm00001d011278	NA	pink
Zm00001d011487	NA	pink
Zm00001d011551	NA	pink
Zm00001d011581	NA	pink
Zm00001d011763	NA	pink
Zm00001d012017	NA	pink
Zm00001d012027	NA	pink
Zm00001d012211	NA	pink
Zm00001d012338	NA	pink
Zm00001d012394	NA	pink
Zm00001d012648	NA	pink
