nodeName	altName	nodeAttr[nodesPresent, ]
Zm00001d001763	NA	yellow
Zm00001d001825	NA	yellow
Zm00001d001828	NA	yellow
Zm00001d001868	NA	yellow
Zm00001d001877	NA	yellow
Zm00001d001879	NA	yellow
Zm00001d001884	NA	yellow
Zm00001d001906	NA	yellow
Zm00001d001990	NA	yellow
Zm00001d002069	NA	yellow
Zm00001d002071	NA	yellow
Zm00001d002079	NA	yellow
Zm00001d002139	NA	yellow
Zm00001d002148	NA	yellow
Zm00001d002157	NA	yellow
Zm00001d002283	NA	yellow
Zm00001d002292	NA	yellow
Zm00001d002304	NA	yellow
Zm00001d002394	NA	yellow
Zm00001d002410	NA	yellow
Zm00001d002461	NA	yellow
Zm00001d002488	NA	yellow
Zm00001d002491	NA	yellow
Zm00001d002520	NA	yellow
Zm00001d002522	NA	yellow
Zm00001d002545	NA	yellow
Zm00001d002550	NA	yellow
Zm00001d002569	NA	yellow
Zm00001d002594	NA	yellow
Zm00001d002705	NA	yellow
Zm00001d002798	NA	yellow
Zm00001d002810	NA	yellow
Zm00001d002823	NA	yellow
Zm00001d002824	NA	yellow
Zm00001d002956	NA	yellow
Zm00001d002965	NA	yellow
Zm00001d003009	NA	yellow
Zm00001d003035	NA	yellow
Zm00001d003064	NA	yellow
Zm00001d003103	NA	yellow
Zm00001d003114	NA	yellow
Zm00001d003200	NA	yellow
Zm00001d003314	NA	yellow
Zm00001d003438	NA	yellow
Zm00001d003470	NA	yellow
Zm00001d003485	NA	yellow
Zm00001d003508	NA	yellow
Zm00001d003509	NA	yellow
Zm00001d003538	NA	yellow
Zm00001d003645	NA	yellow
Zm00001d003654	NA	yellow
Zm00001d003784	NA	yellow
Zm00001d003850	NA	yellow
Zm00001d003855	NA	yellow
Zm00001d003866	NA	yellow
Zm00001d003903	NA	yellow
Zm00001d003911	NA	yellow
Zm00001d004159	NA	yellow
Zm00001d004243	NA	yellow
Zm00001d004372	NA	yellow
Zm00001d004448	NA	yellow
Zm00001d004472	NA	yellow
Zm00001d004546	NA	yellow
Zm00001d004762	NA	yellow
Zm00001d005039	NA	yellow
Zm00001d005062	NA	yellow
Zm00001d005092	NA	yellow
Zm00001d005203	NA	yellow
Zm00001d005459	NA	yellow
Zm00001d005478	NA	yellow
Zm00001d005539	NA	yellow
Zm00001d005554	NA	yellow
Zm00001d005645	NA	yellow
Zm00001d005661	NA	yellow
Zm00001d005684	NA	yellow
Zm00001d005699	NA	yellow
Zm00001d005726	NA	yellow
Zm00001d005727	NA	yellow
Zm00001d005772	NA	yellow
Zm00001d005776	NA	yellow
Zm00001d005783	NA	yellow
Zm00001d005813	NA	yellow
Zm00001d005895	NA	yellow
Zm00001d005950	NA	yellow
Zm00001d005966	NA	yellow
Zm00001d005969	NA	yellow
Zm00001d005978	NA	yellow
Zm00001d005989	NA	yellow
Zm00001d006102	NA	yellow
Zm00001d006128	NA	yellow
Zm00001d006130	NA	yellow
Zm00001d006217	NA	yellow
Zm00001d006236	NA	yellow
Zm00001d006238	NA	yellow
Zm00001d006360	NA	yellow
Zm00001d006389	NA	yellow
Zm00001d006454	NA	yellow
Zm00001d006472	NA	yellow
Zm00001d006500	NA	yellow
Zm00001d006506	NA	yellow
Zm00001d006578	NA	yellow
Zm00001d006591	NA	yellow
Zm00001d006618	NA	yellow
Zm00001d006645	NA	yellow
Zm00001d006670	NA	yellow
Zm00001d006682	NA	yellow
Zm00001d006708	NA	yellow
Zm00001d006711	NA	yellow
Zm00001d006720	NA	yellow
Zm00001d006726	NA	yellow
Zm00001d006744	NA	yellow
Zm00001d006762	NA	yellow
Zm00001d006768	NA	yellow
Zm00001d006780	NA	yellow
Zm00001d006834	NA	yellow
Zm00001d006860	NA	yellow
Zm00001d006945	NA	yellow
Zm00001d006947	NA	yellow
Zm00001d006948	NA	yellow
Zm00001d007027	NA	yellow
Zm00001d007029	NA	yellow
Zm00001d007037	NA	yellow
Zm00001d007072	NA	yellow
Zm00001d007166	NA	yellow
Zm00001d007272	NA	yellow
Zm00001d007319	NA	yellow
Zm00001d007331	NA	yellow
Zm00001d007344	NA	yellow
Zm00001d007455	NA	yellow
Zm00001d007522	NA	yellow
Zm00001d007575	NA	yellow
Zm00001d007581	NA	yellow
Zm00001d007800	NA	yellow
Zm00001d007820	NA	yellow
Zm00001d007865	NA	yellow
Zm00001d007868	NA	yellow
Zm00001d007901	NA	yellow
Zm00001d007962	NA	yellow
Zm00001d008214	NA	yellow
Zm00001d008343	NA	yellow
Zm00001d008444	NA	yellow
Zm00001d008495	NA	yellow
Zm00001d008562	NA	yellow
Zm00001d008587	NA	yellow
Zm00001d008596	NA	yellow
Zm00001d008722	NA	yellow
Zm00001d008782	NA	yellow
Zm00001d008793	NA	yellow
Zm00001d008795	NA	yellow
Zm00001d008825	NA	yellow
Zm00001d008841	NA	yellow
Zm00001d008911	NA	yellow
Zm00001d008968	NA	yellow
Zm00001d008970	NA	yellow
Zm00001d008980	NA	yellow
Zm00001d009005	NA	yellow
Zm00001d009016	NA	yellow
Zm00001d009027	NA	yellow
Zm00001d009171	NA	yellow
Zm00001d009264	NA	yellow
Zm00001d009324	NA	yellow
Zm00001d009330	NA	yellow
Zm00001d009364	NA	yellow
Zm00001d009452	NA	yellow
Zm00001d009465	NA	yellow
Zm00001d009475	NA	yellow
Zm00001d009487	NA	yellow
Zm00001d009552	NA	yellow
Zm00001d009556	NA	yellow
Zm00001d009631	NA	yellow
Zm00001d009674	NA	yellow
Zm00001d009694	NA	yellow
Zm00001d009708	NA	yellow
Zm00001d009710	NA	yellow
Zm00001d009773	NA	yellow
Zm00001d009844	NA	yellow
Zm00001d009923	NA	yellow
Zm00001d009965	NA	yellow
Zm00001d010052	NA	yellow
Zm00001d010066	NA	yellow
Zm00001d010067	NA	yellow
Zm00001d010228	NA	yellow
Zm00001d010280	NA	yellow
Zm00001d010294	NA	yellow
Zm00001d010421	NA	yellow
Zm00001d010507	NA	yellow
Zm00001d010529	NA	yellow
Zm00001d010586	NA	yellow
Zm00001d010588	NA	yellow
Zm00001d010604	NA	yellow
Zm00001d010629	NA	yellow
Zm00001d010661	NA	yellow
Zm00001d010678	NA	yellow
Zm00001d010751	NA	yellow
Zm00001d010754	NA	yellow
Zm00001d010788	NA	yellow
Zm00001d010869	NA	yellow
Zm00001d010987	NA	yellow
Zm00001d011252	NA	yellow
Zm00001d011268	NA	yellow
Zm00001d011396	NA	yellow
Zm00001d011403	NA	yellow
Zm00001d011406	NA	yellow
Zm00001d011424	NA	yellow
Zm00001d011425	NA	yellow
Zm00001d011463	NA	yellow
Zm00001d011470	NA	yellow
Zm00001d011503	NA	yellow
Zm00001d011519	NA	yellow
Zm00001d011536	NA	yellow
Zm00001d011561	NA	yellow
Zm00001d011562	NA	yellow
Zm00001d011563	NA	yellow
Zm00001d011603	NA	yellow
Zm00001d011638	NA	yellow
Zm00001d011649	NA	yellow
Zm00001d011663	NA	yellow
Zm00001d011684	NA	yellow
Zm00001d011697	NA	yellow
Zm00001d011802	NA	yellow
Zm00001d011839	NA	yellow
Zm00001d011849	NA	yellow
Zm00001d011904	NA	yellow
Zm00001d011918	NA	yellow
Zm00001d011924	NA	yellow
Zm00001d011985	NA	yellow
Zm00001d012016	NA	yellow
Zm00001d012031	NA	yellow
Zm00001d012041	NA	yellow
Zm00001d012069	NA	yellow
Zm00001d012101	NA	yellow
Zm00001d012155	NA	yellow
Zm00001d012159	NA	yellow
Zm00001d012194	NA	yellow
Zm00001d012212	NA	yellow
Zm00001d012292	NA	yellow
Zm00001d012302	NA	yellow
Zm00001d012312	NA	yellow
Zm00001d012380	NA	yellow
Zm00001d012420	NA	yellow
Zm00001d012456	NA	yellow
Zm00001d012525	NA	yellow
Zm00001d012527	NA	yellow
Zm00001d012635	NA	yellow
Zm00001d012641	NA	yellow
Zm00001d012642	NA	yellow
Zm00001d012731	NA	yellow
Zm00001d012748	NA	yellow
Zm00001d012750	NA	yellow
Zm00001d012767	NA	yellow
Zm00001d012813	NA	yellow
Zm00001d012934	NA	yellow
Zm00001d012963	NA	yellow
Zm00001d012968	NA	yellow
Zm00001d012970	NA	yellow
Zm00001d013021	NA	yellow
Zm00001d013042	NA	yellow
Zm00001d013087	NA	yellow
Zm00001d013109	NA	yellow
Zm00001d013119	NA	yellow
Zm00001d013185	NA	yellow
Zm00001d013209	NA	yellow
Zm00001d013229	NA	yellow
Zm00001d013241	NA	yellow
Zm00001d013267	NA	yellow
Zm00001d013287	NA	yellow
Zm00001d013317	NA	yellow
Zm00001d013326	NA	yellow
Zm00001d013360	NA	yellow
Zm00001d013383	NA	yellow
Zm00001d013468	NA	yellow
Zm00001d013512	NA	yellow
Zm00001d013547	NA	yellow
Zm00001d013615	NA	yellow
Zm00001d013709	NA	yellow
Zm00001d013745	NA	yellow
Zm00001d013747	NA	yellow
Zm00001d013840	NA	yellow
Zm00001d013927	NA	yellow
Zm00001d013935	NA	yellow
Zm00001d013958	NA	yellow
Zm00001d013964	NA	yellow
Zm00001d013993	NA	yellow
Zm00001d014019	NA	yellow
Zm00001d014029	NA	yellow
Zm00001d014141	NA	yellow
Zm00001d014253	NA	yellow
Zm00001d014275	NA	yellow
Zm00001d014284	NA	yellow
Zm00001d014422	NA	yellow
Zm00001d014486	NA	yellow
Zm00001d014488	NA	yellow
Zm00001d014663	NA	yellow
Zm00001d014667	NA	yellow
Zm00001d014682	NA	yellow
Zm00001d014727	NA	yellow
Zm00001d014752	NA	yellow
Zm00001d014753	NA	yellow
Zm00001d014774	NA	yellow
Zm00001d014780	NA	yellow
Zm00001d014788	NA	yellow
Zm00001d014843	NA	yellow
Zm00001d014853	NA	yellow
Zm00001d014952	NA	yellow
Zm00001d014996	NA	yellow
Zm00001d015067	NA	yellow
Zm00001d015100	NA	yellow
Zm00001d015164	NA	yellow
Zm00001d015204	NA	yellow
Zm00001d015227	NA	yellow
Zm00001d015249	NA	yellow
Zm00001d015289	NA	yellow
Zm00001d015309	NA	yellow
Zm00001d015319	NA	yellow
Zm00001d015330	NA	yellow
Zm00001d015401	NA	yellow
Zm00001d015435	NA	yellow
Zm00001d015475	NA	yellow
Zm00001d015509	NA	yellow
Zm00001d015520	NA	yellow
Zm00001d015521	NA	yellow
Zm00001d015589	NA	yellow
Zm00001d015639	NA	yellow
Zm00001d015656	NA	yellow
Zm00001d015664	NA	yellow
Zm00001d015670	NA	yellow
Zm00001d015741	NA	yellow
Zm00001d015767	NA	yellow
Zm00001d015889	NA	yellow
Zm00001d015895	NA	yellow
Zm00001d016136	NA	yellow
Zm00001d016151	NA	yellow
Zm00001d016170	NA	yellow
Zm00001d016188	NA	yellow
Zm00001d016262	NA	yellow
Zm00001d016332	NA	yellow
Zm00001d016342	NA	yellow
Zm00001d016347	NA	yellow
Zm00001d016400	NA	yellow
Zm00001d016474	NA	yellow
Zm00001d016477	NA	yellow
Zm00001d016483	NA	yellow
Zm00001d016520	NA	yellow
Zm00001d016730	NA	yellow
Zm00001d016731	NA	yellow
Zm00001d016748	NA	yellow
Zm00001d016768	NA	yellow
Zm00001d016783	NA	yellow
Zm00001d016793	NA	yellow
Zm00001d016894	NA	yellow
Zm00001d016902	NA	yellow
Zm00001d016909	NA	yellow
Zm00001d016915	NA	yellow
Zm00001d016933	NA	yellow
Zm00001d016947	NA	yellow
Zm00001d016948	NA	yellow
Zm00001d016957	NA	yellow
Zm00001d016972	NA	yellow
Zm00001d016973	NA	yellow
Zm00001d017025	NA	yellow
Zm00001d017026	NA	yellow
Zm00001d017029	NA	yellow
Zm00001d017031	NA	yellow
Zm00001d017042	NA	yellow
Zm00001d017084	NA	yellow
Zm00001d017099	NA	yellow
Zm00001d017101	NA	yellow
Zm00001d017152	NA	yellow
Zm00001d017176	NA	yellow
Zm00001d017195	NA	yellow
Zm00001d017210	NA	yellow
Zm00001d017366	NA	yellow
Zm00001d017378	NA	yellow
Zm00001d017383	NA	yellow
Zm00001d017385	NA	yellow
Zm00001d017386	NA	yellow
Zm00001d017401	NA	yellow
Zm00001d017412	NA	yellow
Zm00001d017420	NA	yellow
Zm00001d017502	NA	yellow
Zm00001d017545	NA	yellow
Zm00001d017590	NA	yellow
Zm00001d017646	NA	yellow
Zm00001d017717	NA	yellow
Zm00001d017762	NA	yellow
Zm00001d017780	NA	yellow
Zm00001d017793	NA	yellow
Zm00001d017807	NA	yellow
Zm00001d017821	NA	yellow
Zm00001d017829	NA	yellow
Zm00001d017874	NA	yellow
Zm00001d017880	NA	yellow
Zm00001d017885	NA	yellow
Zm00001d017919	NA	yellow
Zm00001d017932	NA	yellow
Zm00001d018072	NA	yellow
Zm00001d018103	NA	yellow
Zm00001d018106	NA	yellow
Zm00001d018107	NA	yellow
Zm00001d018150	NA	yellow
Zm00001d018158	NA	yellow
Zm00001d018178	NA	yellow
Zm00001d018191	NA	yellow
Zm00001d018217	NA	yellow
Zm00001d018278	NA	yellow
Zm00001d018298	NA	yellow
Zm00001d018333	NA	yellow
Zm00001d018380	NA	yellow
Zm00001d018406	NA	yellow
Zm00001d018407	NA	yellow
Zm00001d018429	NA	yellow
Zm00001d018435	NA	yellow
Zm00001d018440	NA	yellow
Zm00001d018445	NA	yellow
Zm00001d018447	NA	yellow
Zm00001d018496	NA	yellow
Zm00001d018527	NA	yellow
Zm00001d018529	NA	yellow
Zm00001d018636	NA	yellow
Zm00001d018677	NA	yellow
Zm00001d018693	NA	yellow
Zm00001d018698	NA	yellow
Zm00001d018746	NA	yellow
Zm00001d018811	NA	yellow
Zm00001d018822	NA	yellow
Zm00001d018847	NA	yellow
Zm00001d018857	NA	yellow
Zm00001d018868	NA	yellow
Zm00001d018906	NA	yellow
Zm00001d018941	NA	yellow
Zm00001d018962	NA	yellow
Zm00001d018973	NA	yellow
