nodeName	altName	nodeAttr[nodesPresent, ]
Zm00001d003501	NA	darkgreen
Zm00001d003531	NA	darkgreen
Zm00001d003572	NA	darkgreen
Zm00001d003792	NA	darkgreen
Zm00001d003824	NA	darkgreen
Zm00001d004514	NA	darkgreen
Zm00001d004600	NA	darkgreen
Zm00001d005249	NA	darkgreen
Zm00001d005304	NA	darkgreen
Zm00001d006300	NA	darkgreen
Zm00001d006546	NA	darkgreen
Zm00001d007109	NA	darkgreen
Zm00001d007111	NA	darkgreen
Zm00001d007502	NA	darkgreen
Zm00001d007681	NA	darkgreen
Zm00001d008288	NA	darkgreen
Zm00001d008460	NA	darkgreen
Zm00001d008651	NA	darkgreen
Zm00001d008721	NA	darkgreen
Zm00001d008963	NA	darkgreen
Zm00001d008971	NA	darkgreen
Zm00001d009007	NA	darkgreen
Zm00001d009103	NA	darkgreen
Zm00001d009787	NA	darkgreen
Zm00001d009876	NA	darkgreen
Zm00001d010205	NA	darkgreen
Zm00001d010371	NA	darkgreen
Zm00001d010455	NA	darkgreen
Zm00001d010720	NA	darkgreen
Zm00001d010866	NA	darkgreen
Zm00001d010926	NA	darkgreen
Zm00001d011048	NA	darkgreen
Zm00001d011300	NA	darkgreen
Zm00001d011388	NA	darkgreen
Zm00001d011407	NA	darkgreen
Zm00001d011636	NA	darkgreen
Zm00001d011756	NA	darkgreen
Zm00001d011817	NA	darkgreen
Zm00001d012140	NA	darkgreen
Zm00001d012221	NA	darkgreen
Zm00001d012318	NA	darkgreen
Zm00001d012943	NA	darkgreen
Zm00001d013524	NA	darkgreen
Zm00001d013635	NA	darkgreen
Zm00001d013760	NA	darkgreen
Zm00001d013909	NA	darkgreen
Zm00001d014669	NA	darkgreen
Zm00001d014674	NA	darkgreen
Zm00001d015025	NA	darkgreen
Zm00001d015063	NA	darkgreen
Zm00001d015717	NA	darkgreen
Zm00001d016142	NA	darkgreen
Zm00001d018075	NA	darkgreen
Zm00001d018360	NA	darkgreen
