nodeName	altName	nodeAttr[nodesPresent, ]
Zm00001d002809	NA	darkgrey
Zm00001d002837	NA	darkgrey
Zm00001d003202	NA	darkgrey
Zm00001d003505	NA	darkgrey
Zm00001d003635	NA	darkgrey
Zm00001d003641	NA	darkgrey
Zm00001d005076	NA	darkgrey
Zm00001d005095	NA	darkgrey
Zm00001d005289	NA	darkgrey
Zm00001d005679	NA	darkgrey
Zm00001d005773	NA	darkgrey
Zm00001d005807	NA	darkgrey
Zm00001d005847	NA	darkgrey
Zm00001d005896	NA	darkgrey
Zm00001d005954	NA	darkgrey
Zm00001d006256	NA	darkgrey
Zm00001d006369	NA	darkgrey
Zm00001d006602	NA	darkgrey
Zm00001d007041	NA	darkgrey
Zm00001d007277	NA	darkgrey
Zm00001d007458	NA	darkgrey
Zm00001d007483	NA	darkgrey
Zm00001d008481	NA	darkgrey
Zm00001d009498	NA	darkgrey
Zm00001d009634	NA	darkgrey
Zm00001d009880	NA	darkgrey
Zm00001d010026	NA	darkgrey
Zm00001d010103	NA	darkgrey
Zm00001d010279	NA	darkgrey
Zm00001d011441	NA	darkgrey
Zm00001d012630	NA	darkgrey
Zm00001d012637	NA	darkgrey
Zm00001d012980	NA	darkgrey
Zm00001d013688	NA	darkgrey
Zm00001d014535	NA	darkgrey
Zm00001d014581	NA	darkgrey
Zm00001d014692	NA	darkgrey
Zm00001d015021	NA	darkgrey
Zm00001d015462	NA	darkgrey
Zm00001d015657	NA	darkgrey
Zm00001d016068	NA	darkgrey
Zm00001d016395	NA	darkgrey
Zm00001d016842	NA	darkgrey
Zm00001d016873	NA	darkgrey
Zm00001d016930	NA	darkgrey
Zm00001d017577	NA	darkgrey
Zm00001d018800	NA	darkgrey
Zm00001d019036	NA	darkgrey
