nodeName	altName	nodeAttr[nodesPresent, ]
Zm00001d001775	NA	darkorange
Zm00001d002554	NA	darkorange
Zm00001d003307	NA	darkorange
Zm00001d003331	NA	darkorange
Zm00001d003347	NA	darkorange
Zm00001d003610	NA	darkorange
Zm00001d003986	NA	darkorange
Zm00001d004481	NA	darkorange
Zm00001d004489	NA	darkorange
Zm00001d004545	NA	darkorange
Zm00001d005007	NA	darkorange
Zm00001d005476	NA	darkorange
Zm00001d005580	NA	darkorange
Zm00001d005583	NA	darkorange
Zm00001d008234	NA	darkorange
Zm00001d008892	NA	darkorange
Zm00001d009514	NA	darkorange
Zm00001d009547	NA	darkorange
Zm00001d009636	NA	darkorange
Zm00001d009786	NA	darkorange
Zm00001d009799	NA	darkorange
Zm00001d009936	NA	darkorange
Zm00001d010762	NA	darkorange
Zm00001d010875	NA	darkorange
Zm00001d011394	NA	darkorange
Zm00001d012869	NA	darkorange
Zm00001d014687	NA	darkorange
Zm00001d014730	NA	darkorange
Zm00001d014873	NA	darkorange
Zm00001d014919	NA	darkorange
Zm00001d016318	NA	darkorange
Zm00001d018750	NA	darkorange
Zm00001d018849	NA	darkorange
Zm00001d018851	NA	darkorange
