nodeName	altName	nodeAttr[nodesPresent, ]
Zm00001d001832	NA	darkred
Zm00001d002393	NA	darkred
Zm00001d002402	NA	darkred
Zm00001d002436	NA	darkred
Zm00001d002476	NA	darkred
Zm00001d002707	NA	darkred
Zm00001d002984	NA	darkred
Zm00001d003059	NA	darkred
Zm00001d003861	NA	darkred
Zm00001d004921	NA	darkred
Zm00001d005055	NA	darkred
Zm00001d005057	NA	darkred
Zm00001d005306	NA	darkred
Zm00001d005392	NA	darkred
Zm00001d005470	NA	darkred
Zm00001d005594	NA	darkred
Zm00001d005875	NA	darkred
Zm00001d006374	NA	darkred
Zm00001d006397	NA	darkred
Zm00001d006900	NA	darkred
Zm00001d007285	NA	darkred
Zm00001d007329	NA	darkred
Zm00001d007378	NA	darkred
Zm00001d007379	NA	darkred
Zm00001d007381	NA	darkred
Zm00001d007426	NA	darkred
Zm00001d007430	NA	darkred
Zm00001d007616	NA	darkred
Zm00001d007625	NA	darkred
Zm00001d007714	NA	darkred
Zm00001d008273	NA	darkred
Zm00001d008457	NA	darkred
Zm00001d008465	NA	darkred
Zm00001d008853	NA	darkred
Zm00001d008960	NA	darkred
Zm00001d009112	NA	darkred
Zm00001d009243	NA	darkred
Zm00001d009296	NA	darkred
Zm00001d009473	NA	darkred
Zm00001d009508	NA	darkred
Zm00001d009646	NA	darkred
Zm00001d010218	NA	darkred
Zm00001d010838	NA	darkred
Zm00001d011237	NA	darkred
Zm00001d011315	NA	darkred
Zm00001d011626	NA	darkred
Zm00001d011644	NA	darkred
Zm00001d011831	NA	darkred
Zm00001d011838	NA	darkred
Zm00001d012067	NA	darkred
Zm00001d012378	NA	darkred
Zm00001d012782	NA	darkred
Zm00001d013099	NA	darkred
Zm00001d013610	NA	darkred
Zm00001d013753	NA	darkred
Zm00001d013799	NA	darkred
Zm00001d013934	NA	darkred
Zm00001d014003	NA	darkred
Zm00001d014081	NA	darkred
Zm00001d014121	NA	darkred
Zm00001d014134	NA	darkred
Zm00001d014335	NA	darkred
Zm00001d014945	NA	darkred
Zm00001d015339	NA	darkred
Zm00001d015805	NA	darkred
Zm00001d016103	NA	darkred
Zm00001d016155	NA	darkred
Zm00001d016242	NA	darkred
Zm00001d016616	NA	darkred
Zm00001d017139	NA	darkred
Zm00001d017279	NA	darkred
Zm00001d017326	NA	darkred
Zm00001d017653	NA	darkred
Zm00001d017693	NA	darkred
Zm00001d017713	NA	darkred
Zm00001d017912	NA	darkred
Zm00001d018064	NA	darkred
Zm00001d018220	NA	darkred
Zm00001d018681	NA	darkred
Zm00001d018692	NA	darkred
