nodeName	altName	nodeAttr[nodesPresent, ]
Zm00001d001806	NA	green
Zm00001d001871	NA	green
Zm00001d001887	NA	green
Zm00001d001924	NA	green
Zm00001d002007	NA	green
Zm00001d002106	NA	green
Zm00001d002116	NA	green
Zm00001d002147	NA	green
Zm00001d002174	NA	green
Zm00001d002186	NA	green
Zm00001d002202	NA	green
Zm00001d002215	NA	green
Zm00001d002232	NA	green
Zm00001d002320	NA	green
Zm00001d002360	NA	green
Zm00001d002366	NA	green
Zm00001d002367	NA	green
Zm00001d002385	NA	green
Zm00001d002396	NA	green
Zm00001d002425	NA	green
Zm00001d002444	NA	green
Zm00001d002505	NA	green
Zm00001d002547	NA	green
Zm00001d002560	NA	green
Zm00001d002712	NA	green
Zm00001d002900	NA	green
Zm00001d003020	NA	green
Zm00001d003041	NA	green
Zm00001d003085	NA	green
Zm00001d003142	NA	green
Zm00001d003146	NA	green
Zm00001d003148	NA	green
Zm00001d003194	NA	green
Zm00001d003210	NA	green
Zm00001d003218	NA	green
Zm00001d003240	NA	green
Zm00001d003247	NA	green
Zm00001d003252	NA	green
Zm00001d003275	NA	green
Zm00001d003280	NA	green
Zm00001d003356	NA	green
Zm00001d003367	NA	green
Zm00001d003412	NA	green
Zm00001d003429	NA	green
Zm00001d003435	NA	green
Zm00001d003459	NA	green
Zm00001d003555	NA	green
Zm00001d003674	NA	green
Zm00001d003689	NA	green
Zm00001d003690	NA	green
Zm00001d003709	NA	green
Zm00001d003775	NA	green
Zm00001d003809	NA	green
Zm00001d003867	NA	green
Zm00001d003877	NA	green
Zm00001d003929	NA	green
Zm00001d003938	NA	green
Zm00001d003965	NA	green
Zm00001d004041	NA	green
Zm00001d004099	NA	green
Zm00001d004109	NA	green
Zm00001d004116	NA	green
Zm00001d004187	NA	green
Zm00001d004193	NA	green
Zm00001d004362	NA	green
Zm00001d004388	NA	green
Zm00001d004389	NA	green
Zm00001d004392	NA	green
Zm00001d004479	NA	green
Zm00001d004506	NA	green
Zm00001d004531	NA	green
Zm00001d004557	NA	green
Zm00001d004564	NA	green
Zm00001d004568	NA	green
Zm00001d004589	NA	green
Zm00001d004591	NA	green
Zm00001d004595	NA	green
Zm00001d004672	NA	green
Zm00001d004699	NA	green
Zm00001d004702	NA	green
Zm00001d004756	NA	green
Zm00001d004759	NA	green
Zm00001d004760	NA	green
Zm00001d004865	NA	green
Zm00001d004876	NA	green
Zm00001d004909	NA	green
Zm00001d004914	NA	green
Zm00001d004926	NA	green
Zm00001d004943	NA	green
Zm00001d005059	NA	green
Zm00001d005097	NA	green
Zm00001d005175	NA	green
Zm00001d005195	NA	green
Zm00001d005247	NA	green
