nodeName	altName	nodeAttr[nodesPresent, ]
Zm00001d001947	NA	grey60
Zm00001d002208	NA	grey60
Zm00001d002309	NA	grey60
Zm00001d002312	NA	grey60
Zm00001d002437	NA	grey60
Zm00001d002446	NA	grey60
Zm00001d002876	NA	grey60
Zm00001d003521	NA	grey60
Zm00001d003885	NA	grey60
Zm00001d004073	NA	grey60
Zm00001d004356	NA	grey60
Zm00001d004494	NA	grey60
Zm00001d004755	NA	grey60
Zm00001d004840	NA	grey60
Zm00001d004968	NA	grey60
Zm00001d005050	NA	grey60
Zm00001d005126	NA	grey60
Zm00001d005147	NA	grey60
Zm00001d005171	NA	grey60
Zm00001d005219	NA	grey60
Zm00001d005261	NA	grey60
Zm00001d005534	NA	grey60
Zm00001d005815	NA	grey60
Zm00001d005889	NA	grey60
Zm00001d006485	NA	grey60
Zm00001d006530	NA	grey60
Zm00001d006622	NA	grey60
Zm00001d006666	NA	grey60
Zm00001d006727	NA	grey60
Zm00001d007131	NA	grey60
Zm00001d007478	NA	grey60
Zm00001d007479	NA	grey60
Zm00001d007560	NA	grey60
Zm00001d007643	NA	grey60
Zm00001d007725	NA	grey60
Zm00001d007845	NA	grey60
Zm00001d008286	NA	grey60
Zm00001d008384	NA	grey60
Zm00001d008386	NA	grey60
Zm00001d008563	NA	grey60
Zm00001d008808	NA	grey60
Zm00001d008887	NA	grey60
Zm00001d009289	NA	grey60
Zm00001d009361	NA	grey60
Zm00001d009363	NA	grey60
Zm00001d009598	NA	grey60
Zm00001d009741	NA	grey60
Zm00001d009767	NA	grey60
Zm00001d009805	NA	grey60
Zm00001d009807	NA	grey60
Zm00001d009821	NA	grey60
Zm00001d010069	NA	grey60
Zm00001d010386	NA	grey60
Zm00001d010387	NA	grey60
Zm00001d010398	NA	grey60
Zm00001d010492	NA	grey60
Zm00001d010550	NA	grey60
Zm00001d010552	NA	grey60
Zm00001d010601	NA	grey60
Zm00001d010989	NA	grey60
Zm00001d011182	NA	grey60
Zm00001d011522	NA	grey60
Zm00001d011614	NA	grey60
Zm00001d011639	NA	grey60
Zm00001d011829	NA	grey60
Zm00001d011871	NA	grey60
Zm00001d011978	NA	grey60
Zm00001d012172	NA	grey60
Zm00001d012205	NA	grey60
Zm00001d012566	NA	grey60
Zm00001d012621	NA	grey60
Zm00001d012802	NA	grey60
Zm00001d012803	NA	grey60
Zm00001d012805	NA	grey60
Zm00001d012885	NA	grey60
Zm00001d012994	NA	grey60
Zm00001d013014	NA	grey60
Zm00001d013037	NA	grey60
Zm00001d013169	NA	grey60
Zm00001d013190	NA	grey60
Zm00001d013232	NA	grey60
Zm00001d013592	NA	grey60
Zm00001d013636	NA	grey60
Zm00001d013872	NA	grey60
Zm00001d014210	NA	grey60
Zm00001d014269	NA	grey60
Zm00001d014379	NA	grey60
Zm00001d014751	NA	grey60
Zm00001d014783	NA	grey60
Zm00001d014953	NA	grey60
Zm00001d015171	NA	grey60
Zm00001d015246	NA	grey60
Zm00001d015294	NA	grey60
Zm00001d015349	NA	grey60
Zm00001d015398	NA	grey60
Zm00001d015491	NA	grey60
Zm00001d016152	NA	grey60
Zm00001d016239	NA	grey60
Zm00001d016306	NA	grey60
Zm00001d016309	NA	grey60
Zm00001d016813	NA	grey60
Zm00001d017251	NA	grey60
Zm00001d017742	NA	grey60
Zm00001d017896	NA	grey60
Zm00001d018769	NA	grey60
Zm00001d019004	NA	grey60
