nodeName	altName	nodeAttr[nodesPresent, ]
Zm00001d001974	NA	lightgreen
Zm00001d001980	NA	lightgreen
Zm00001d002006	NA	lightgreen
Zm00001d002046	NA	lightgreen
Zm00001d002250	NA	lightgreen
Zm00001d002650	NA	lightgreen
Zm00001d002695	NA	lightgreen
Zm00001d002944	NA	lightgreen
Zm00001d003102	NA	lightgreen
Zm00001d003203	NA	lightgreen
Zm00001d003214	NA	lightgreen
Zm00001d003242	NA	lightgreen
Zm00001d003258	NA	lightgreen
Zm00001d003839	NA	lightgreen
Zm00001d003949	NA	lightgreen
Zm00001d004300	NA	lightgreen
Zm00001d004466	NA	lightgreen
Zm00001d005157	NA	lightgreen
Zm00001d005269	NA	lightgreen
Zm00001d005350	NA	lightgreen
Zm00001d005460	NA	lightgreen
Zm00001d005507	NA	lightgreen
Zm00001d005584	NA	lightgreen
Zm00001d005698	NA	lightgreen
Zm00001d005767	NA	lightgreen
Zm00001d006317	NA	lightgreen
Zm00001d006761	NA	lightgreen
Zm00001d007039	NA	lightgreen
Zm00001d007173	NA	lightgreen
Zm00001d007185	NA	lightgreen
Zm00001d007255	NA	lightgreen
Zm00001d007435	NA	lightgreen
Zm00001d007606	NA	lightgreen
Zm00001d007718	NA	lightgreen
Zm00001d007806	NA	lightgreen
Zm00001d007938	NA	lightgreen
Zm00001d008178	NA	lightgreen
Zm00001d008429	NA	lightgreen
Zm00001d008591	NA	lightgreen
Zm00001d008788	NA	lightgreen
Zm00001d008846	NA	lightgreen
Zm00001d008996	NA	lightgreen
Zm00001d009014	NA	lightgreen
Zm00001d009125	NA	lightgreen
Zm00001d009156	NA	lightgreen
Zm00001d009352	NA	lightgreen
Zm00001d009571	NA	lightgreen
Zm00001d009745	NA	lightgreen
Zm00001d009879	NA	lightgreen
Zm00001d009950	NA	lightgreen
Zm00001d010000	NA	lightgreen
Zm00001d010447	NA	lightgreen
Zm00001d011097	NA	lightgreen
Zm00001d011197	NA	lightgreen
Zm00001d011231	NA	lightgreen
Zm00001d011963	NA	lightgreen
Zm00001d012118	NA	lightgreen
Zm00001d012349	NA	lightgreen
Zm00001d012771	NA	lightgreen
Zm00001d012852	NA	lightgreen
Zm00001d012929	NA	lightgreen
Zm00001d013019	NA	lightgreen
Zm00001d013268	NA	lightgreen
Zm00001d013432	NA	lightgreen
Zm00001d013493	NA	lightgreen
Zm00001d013505	NA	lightgreen
Zm00001d013523	NA	lightgreen
Zm00001d013768	NA	lightgreen
Zm00001d014032	NA	lightgreen
Zm00001d014085	NA	lightgreen
Zm00001d014178	NA	lightgreen
Zm00001d014187	NA	lightgreen
Zm00001d014280	NA	lightgreen
Zm00001d014909	NA	lightgreen
Zm00001d015168	NA	lightgreen
Zm00001d015566	NA	lightgreen
Zm00001d015705	NA	lightgreen
Zm00001d015744	NA	lightgreen
Zm00001d015815	NA	lightgreen
Zm00001d016475	NA	lightgreen
Zm00001d016655	NA	lightgreen
Zm00001d017150	NA	lightgreen
Zm00001d017469	NA	lightgreen
Zm00001d018070	NA	lightgreen
Zm00001d018180	NA	lightgreen
Zm00001d018226	NA	lightgreen
Zm00001d018323	NA	lightgreen
Zm00001d018331	NA	lightgreen
Zm00001d018394	NA	lightgreen
Zm00001d018409	NA	lightgreen
Zm00001d018545	NA	lightgreen
Zm00001d018659	NA	lightgreen
Zm00001d018912	NA	lightgreen
Zm00001d018944	NA	lightgreen
Zm00001d019115	NA	lightgreen
