nodeName	altName	nodeAttr[nodesPresent, ]
Zm00001d001927	NA	magenta
Zm00001d002062	NA	magenta
Zm00001d002135	NA	magenta
Zm00001d002391	NA	magenta
Zm00001d002497	NA	magenta
Zm00001d002549	NA	magenta
Zm00001d002743	NA	magenta
Zm00001d002906	NA	magenta
Zm00001d002970	NA	magenta
Zm00001d003195	NA	magenta
Zm00001d003250	NA	magenta
Zm00001d003333	NA	magenta
Zm00001d003395	NA	magenta
Zm00001d003519	NA	magenta
Zm00001d003630	NA	magenta
Zm00001d003724	NA	magenta
Zm00001d003786	NA	magenta
Zm00001d003860	NA	magenta
Zm00001d003995	NA	magenta
Zm00001d004332	NA	magenta
Zm00001d004585	NA	magenta
Zm00001d004633	NA	magenta
Zm00001d004641	NA	magenta
Zm00001d004658	NA	magenta
Zm00001d004670	NA	magenta
Zm00001d004747	NA	magenta
Zm00001d004778	NA	magenta
Zm00001d004882	NA	magenta
Zm00001d004994	NA	magenta
Zm00001d005077	NA	magenta
Zm00001d005174	NA	magenta
Zm00001d005239	NA	magenta
Zm00001d005313	NA	magenta
Zm00001d005551	NA	magenta
Zm00001d005552	NA	magenta
Zm00001d005586	NA	magenta
Zm00001d005641	NA	magenta
Zm00001d005647	NA	magenta
Zm00001d005666	NA	magenta
Zm00001d005882	NA	magenta
Zm00001d006047	NA	magenta
Zm00001d006059	NA	magenta
Zm00001d006179	NA	magenta
Zm00001d006489	NA	magenta
Zm00001d006570	NA	magenta
Zm00001d006582	NA	magenta
Zm00001d006649	NA	magenta
Zm00001d006695	NA	magenta
Zm00001d007065	NA	magenta
Zm00001d007068	NA	magenta
Zm00001d007191	NA	magenta
Zm00001d007234	NA	magenta
Zm00001d007281	NA	magenta
Zm00001d007305	NA	magenta
Zm00001d007390	NA	magenta
Zm00001d007638	NA	magenta
Zm00001d007702	NA	magenta
Zm00001d007752	NA	magenta
Zm00001d007826	NA	magenta
Zm00001d007827	NA	magenta
Zm00001d007870	NA	magenta
Zm00001d007885	NA	magenta
Zm00001d008211	NA	magenta
Zm00001d008265	NA	magenta
Zm00001d008372	NA	magenta
Zm00001d008373	NA	magenta
Zm00001d008427	NA	magenta
Zm00001d008539	NA	magenta
Zm00001d008630	NA	magenta
Zm00001d008734	NA	magenta
Zm00001d008752	NA	magenta
Zm00001d008872	NA	magenta
Zm00001d008927	NA	magenta
Zm00001d008928	NA	magenta
Zm00001d008983	NA	magenta
Zm00001d009115	NA	magenta
Zm00001d009259	NA	magenta
Zm00001d009359	NA	magenta
Zm00001d009427	NA	magenta
Zm00001d009524	NA	magenta
Zm00001d009529	NA	magenta
Zm00001d009698	NA	magenta
Zm00001d009763	NA	magenta
Zm00001d009837	NA	magenta
Zm00001d010131	NA	magenta
Zm00001d010233	NA	magenta
Zm00001d010315	NA	magenta
Zm00001d010327	NA	magenta
Zm00001d010458	NA	magenta
Zm00001d010951	NA	magenta
Zm00001d011144	NA	magenta
Zm00001d011458	NA	magenta
Zm00001d011540	NA	magenta
Zm00001d011541	NA	magenta
Zm00001d011606	NA	magenta
Zm00001d011613	NA	magenta
Zm00001d011623	NA	magenta
Zm00001d011659	NA	magenta
Zm00001d011757	NA	magenta
Zm00001d011821	NA	magenta
Zm00001d011968	NA	magenta
Zm00001d011975	NA	magenta
Zm00001d011976	NA	magenta
Zm00001d012019	NA	magenta
Zm00001d012083	NA	magenta
Zm00001d012290	NA	magenta
Zm00001d012296	NA	magenta
Zm00001d012308	NA	magenta
Zm00001d012382	NA	magenta
Zm00001d012411	NA	magenta
Zm00001d012433	NA	magenta
Zm00001d012486	NA	magenta
Zm00001d012507	NA	magenta
Zm00001d012553	NA	magenta
Zm00001d012564	NA	magenta
Zm00001d012569	NA	magenta
Zm00001d012600	NA	magenta
Zm00001d012663	NA	magenta
Zm00001d012665	NA	magenta
Zm00001d012861	NA	magenta
Zm00001d012867	NA	magenta
Zm00001d013211	NA	magenta
Zm00001d013247	NA	magenta
Zm00001d013407	NA	magenta
Zm00001d013418	NA	magenta
Zm00001d013506	NA	magenta
Zm00001d013569	NA	magenta
Zm00001d013821	NA	magenta
Zm00001d013863	NA	magenta
Zm00001d013900	NA	magenta
Zm00001d013919	NA	magenta
Zm00001d014199	NA	magenta
Zm00001d014243	NA	magenta
Zm00001d014389	NA	magenta
Zm00001d014424	NA	magenta
Zm00001d014790	NA	magenta
Zm00001d015040	NA	magenta
Zm00001d015041	NA	magenta
Zm00001d015043	NA	magenta
Zm00001d015044	NA	magenta
Zm00001d015055	NA	magenta
Zm00001d015060	NA	magenta
Zm00001d015217	NA	magenta
Zm00001d015224	NA	magenta
Zm00001d015275	NA	magenta
Zm00001d015310	NA	magenta
Zm00001d015559	NA	magenta
Zm00001d015575	NA	magenta
