nodeName	altName	nodeAttr[nodesPresent, ]
Zm00001d002577	NA	orange
Zm00001d002691	NA	orange
Zm00001d002904	NA	orange
Zm00001d003120	NA	orange
Zm00001d003229	NA	orange
Zm00001d003398	NA	orange
Zm00001d003778	NA	orange
Zm00001d003823	NA	orange
Zm00001d004577	NA	orange
Zm00001d004891	NA	orange
Zm00001d005619	NA	orange
Zm00001d005941	NA	orange
Zm00001d006442	NA	orange
Zm00001d006446	NA	orange
Zm00001d006697	NA	orange
Zm00001d007083	NA	orange
Zm00001d007717	NA	orange
Zm00001d007807	NA	orange
Zm00001d007974	NA	orange
Zm00001d010260	NA	orange
Zm00001d010657	NA	orange
Zm00001d010702	NA	orange
Zm00001d011254	NA	orange
Zm00001d011797	NA	orange
Zm00001d011851	NA	orange
Zm00001d013906	NA	orange
Zm00001d014949	NA	orange
Zm00001d015084	NA	orange
Zm00001d015125	NA	orange
Zm00001d015142	NA	orange
Zm00001d015198	NA	orange
Zm00001d015258	NA	orange
Zm00001d015302	NA	orange
Zm00001d016041	NA	orange
Zm00001d016694	NA	orange
Zm00001d017068	NA	orange
Zm00001d017078	NA	orange
Zm00001d017409	NA	orange
Zm00001d017506	NA	orange
Zm00001d017946	NA	orange
Zm00001d017999	NA	orange
Zm00001d018195	NA	orange
