nodeName	altName	nodeAttr[nodesPresent, ]
Zm00001d001784	NA	purple
Zm00001d001804	NA	purple
Zm00001d001824	NA	purple
Zm00001d001837	NA	purple
Zm00001d001857	NA	purple
Zm00001d001883	NA	purple
Zm00001d001952	NA	purple
Zm00001d002021	NA	purple
Zm00001d002065	NA	purple
Zm00001d002128	NA	purple
Zm00001d002200	NA	purple
Zm00001d002326	NA	purple
Zm00001d002503	NA	purple
Zm00001d002542	NA	purple
Zm00001d002614	NA	purple
Zm00001d002680	NA	purple
Zm00001d002690	NA	purple
Zm00001d002700	NA	purple
Zm00001d002896	NA	purple
Zm00001d002939	NA	purple
Zm00001d003006	NA	purple
Zm00001d003116	NA	purple
Zm00001d003157	NA	purple
Zm00001d003426	NA	purple
Zm00001d003632	NA	purple
Zm00001d003712	NA	purple
Zm00001d003776	NA	purple
Zm00001d003958	NA	purple
Zm00001d004048	NA	purple
Zm00001d004437	NA	purple
Zm00001d004586	NA	purple
Zm00001d004611	NA	purple
Zm00001d004689	NA	purple
Zm00001d004875	NA	purple
Zm00001d004910	NA	purple
Zm00001d005146	NA	purple
Zm00001d005250	NA	purple
Zm00001d005502	NA	purple
Zm00001d005716	NA	purple
Zm00001d006026	NA	purple
Zm00001d006051	NA	purple
Zm00001d006198	NA	purple
Zm00001d006204	NA	purple
Zm00001d006212	NA	purple
Zm00001d006295	NA	purple
Zm00001d006465	NA	purple
Zm00001d006552	NA	purple
Zm00001d006704	NA	purple
Zm00001d006778	NA	purple
Zm00001d006881	NA	purple
Zm00001d007012	NA	purple
Zm00001d007044	NA	purple
Zm00001d007079	NA	purple
Zm00001d007100	NA	purple
Zm00001d007183	NA	purple
Zm00001d007196	NA	purple
Zm00001d007442	NA	purple
Zm00001d007445	NA	purple
Zm00001d007597	NA	purple
Zm00001d008205	NA	purple
Zm00001d008222	NA	purple
Zm00001d008340	NA	purple
Zm00001d008376	NA	purple
Zm00001d008392	NA	purple
Zm00001d008405	NA	purple
Zm00001d008422	NA	purple
Zm00001d008493	NA	purple
Zm00001d008570	NA	purple
Zm00001d008621	NA	purple
Zm00001d008665	NA	purple
Zm00001d008690	NA	purple
Zm00001d008974	NA	purple
Zm00001d009057	NA	purple
Zm00001d009481	NA	purple
Zm00001d009555	NA	purple
Zm00001d009618	NA	purple
Zm00001d009687	NA	purple
Zm00001d009975	NA	purple
Zm00001d010274	NA	purple
Zm00001d010410	NA	purple
Zm00001d010499	NA	purple
Zm00001d010627	NA	purple
Zm00001d010632	NA	purple
Zm00001d010651	NA	purple
Zm00001d010652	NA	purple
Zm00001d010723	NA	purple
Zm00001d010752	NA	purple
Zm00001d010797	NA	purple
Zm00001d011117	NA	purple
Zm00001d011124	NA	purple
Zm00001d011202	NA	purple
Zm00001d011208	NA	purple
Zm00001d011226	NA	purple
Zm00001d011270	NA	purple
Zm00001d011417	NA	purple
Zm00001d011467	NA	purple
Zm00001d011569	NA	purple
Zm00001d011719	NA	purple
Zm00001d011746	NA	purple
Zm00001d011785	NA	purple
Zm00001d011913	NA	purple
Zm00001d012198	NA	purple
Zm00001d012396	NA	purple
Zm00001d012398	NA	purple
Zm00001d012426	NA	purple
Zm00001d012460	NA	purple
Zm00001d012500	NA	purple
Zm00001d012559	NA	purple
Zm00001d012780	NA	purple
Zm00001d012817	NA	purple
Zm00001d012863	NA	purple
Zm00001d013005	NA	purple
Zm00001d013082	NA	purple
Zm00001d013093	NA	purple
Zm00001d013254	NA	purple
Zm00001d013276	NA	purple
Zm00001d013325	NA	purple
Zm00001d013445	NA	purple
Zm00001d013456	NA	purple
Zm00001d013568	NA	purple
Zm00001d013680	NA	purple
Zm00001d013706	NA	purple
Zm00001d013781	NA	purple
Zm00001d013814	NA	purple
Zm00001d013914	NA	purple
Zm00001d014083	NA	purple
Zm00001d014109	NA	purple
Zm00001d014159	NA	purple
Zm00001d014291	NA	purple
Zm00001d014297	NA	purple
Zm00001d014349	NA	purple
Zm00001d014493	NA	purple
Zm00001d014564	NA	purple
Zm00001d014698	NA	purple
Zm00001d014757	NA	purple
Zm00001d014760	NA	purple
Zm00001d014861	NA	purple
Zm00001d014863	NA	purple
Zm00001d014864	NA	purple
Zm00001d014951	NA	purple
Zm00001d015138	NA	purple
Zm00001d015200	NA	purple
Zm00001d015468	NA	purple
Zm00001d015518	NA	purple
Zm00001d015546	NA	purple
Zm00001d015581	NA	purple
Zm00001d015829	NA	purple
Zm00001d015862	NA	purple
Zm00001d016076	NA	purple
Zm00001d016119	NA	purple
Zm00001d016166	NA	purple
Zm00001d016255	NA	purple
Zm00001d016397	NA	purple
Zm00001d016582	NA	purple
Zm00001d016674	NA	purple
Zm00001d016792	NA	purple
Zm00001d016846	NA	purple
Zm00001d016926	NA	purple
Zm00001d017147	NA	purple
Zm00001d017241	NA	purple
Zm00001d017288	NA	purple
Zm00001d017398	NA	purple
Zm00001d017422	NA	purple
Zm00001d017524	NA	purple
Zm00001d017526	NA	purple
Zm00001d017642	NA	purple
Zm00001d017860	NA	purple
Zm00001d018034	NA	purple
Zm00001d018238	NA	purple
Zm00001d018246	NA	purple
Zm00001d018339	NA	purple
Zm00001d018382	NA	purple
Zm00001d018461	NA	purple
Zm00001d018470	NA	purple
Zm00001d018626	NA	purple
Zm00001d018652	NA	purple
Zm00001d018781	NA	purple
