nodeName	altName	nodeAttr[nodesPresent, ]
Zm00001d001770	NA	red
Zm00001d001977	NA	red
Zm00001d002022	NA	red
Zm00001d002109	NA	red
Zm00001d002216	NA	red
Zm00001d002302	NA	red
Zm00001d002414	NA	red
Zm00001d002473	NA	red
Zm00001d002481	NA	red
Zm00001d002617	NA	red
Zm00001d002625	NA	red
Zm00001d002668	NA	red
Zm00001d002711	NA	red
Zm00001d002725	NA	red
Zm00001d002727	NA	red
Zm00001d002758	NA	red
Zm00001d002775	NA	red
Zm00001d002783	NA	red
Zm00001d002847	NA	red
Zm00001d003005	NA	red
Zm00001d003012	NA	red
Zm00001d003013	NA	red
Zm00001d003067	NA	red
Zm00001d003128	NA	red
Zm00001d003141	NA	red
Zm00001d003143	NA	red
Zm00001d003153	NA	red
Zm00001d003155	NA	red
Zm00001d003174	NA	red
Zm00001d003300	NA	red
Zm00001d003311	NA	red
Zm00001d003390	NA	red
Zm00001d003403	NA	red
Zm00001d003408	NA	red
Zm00001d003409	NA	red
Zm00001d003411	NA	red
Zm00001d003419	NA	red
Zm00001d003439	NA	red
Zm00001d003515	NA	red
Zm00001d003549	NA	red
Zm00001d003559	NA	red
Zm00001d003616	NA	red
Zm00001d003760	NA	red
Zm00001d003804	NA	red
Zm00001d003968	NA	red
Zm00001d004019	NA	red
Zm00001d004407	NA	red
Zm00001d004414	NA	red
Zm00001d004417	NA	red
Zm00001d004433	NA	red
Zm00001d004485	NA	red
Zm00001d004491	NA	red
Zm00001d004505	NA	red
Zm00001d004637	NA	red
Zm00001d004698	NA	red
Zm00001d004733	NA	red
Zm00001d004753	NA	red
Zm00001d004800	NA	red
Zm00001d004880	NA	red
Zm00001d004999	NA	red
Zm00001d005038	NA	red
Zm00001d005104	NA	red
Zm00001d005196	NA	red
Zm00001d005278	NA	red
Zm00001d005404	NA	red
Zm00001d005544	NA	red
Zm00001d005577	NA	red
Zm00001d005599	NA	red
Zm00001d005602	NA	red
Zm00001d005616	NA	red
Zm00001d005648	NA	red
Zm00001d005724	NA	red
Zm00001d005758	NA	red
Zm00001d005760	NA	red
Zm00001d005828	NA	red
Zm00001d005850	NA	red
Zm00001d005879	NA	red
Zm00001d005884	NA	red
Zm00001d005911	NA	red
Zm00001d005990	NA	red
Zm00001d006009	NA	red
Zm00001d006091	NA	red
Zm00001d006184	NA	red
Zm00001d006208	NA	red
Zm00001d006251	NA	red
Zm00001d006347	NA	red
