nodeName	altName	nodeAttr[nodesPresent, ]
Zm00001d001885	NA	salmon
Zm00001d001908	NA	salmon
Zm00001d001941	NA	salmon
Zm00001d002038	NA	salmon
Zm00001d002131	NA	salmon
Zm00001d002198	NA	salmon
Zm00001d002199	NA	salmon
Zm00001d002238	NA	salmon
Zm00001d002258	NA	salmon
Zm00001d002263	NA	salmon
Zm00001d002307	NA	salmon
Zm00001d002351	NA	salmon
Zm00001d002384	NA	salmon
Zm00001d002455	NA	salmon
Zm00001d002457	NA	salmon
Zm00001d002521	NA	salmon
Zm00001d002611	NA	salmon
Zm00001d002616	NA	salmon
Zm00001d002663	NA	salmon
Zm00001d002740	NA	salmon
Zm00001d003019	NA	salmon
Zm00001d003021	NA	salmon
Zm00001d003022	NA	salmon
Zm00001d003023	NA	salmon
Zm00001d003145	NA	salmon
Zm00001d003167	NA	salmon
Zm00001d003451	NA	salmon
Zm00001d003747	NA	salmon
Zm00001d004008	NA	salmon
Zm00001d004083	NA	salmon
Zm00001d004135	NA	salmon
Zm00001d004382	NA	salmon
Zm00001d004411	NA	salmon
Zm00001d004743	NA	salmon
Zm00001d004765	NA	salmon
Zm00001d005458	NA	salmon
Zm00001d005487	NA	salmon
Zm00001d006033	NA	salmon
Zm00001d006214	NA	salmon
Zm00001d006243	NA	salmon
Zm00001d006441	NA	salmon
Zm00001d006451	NA	salmon
Zm00001d006540	NA	salmon
Zm00001d006587	NA	salmon
Zm00001d006675	NA	salmon
Zm00001d006885	NA	salmon
Zm00001d007018	NA	salmon
Zm00001d007096	NA	salmon
Zm00001d007147	NA	salmon
Zm00001d007256	NA	salmon
Zm00001d007312	NA	salmon
Zm00001d007457	NA	salmon
Zm00001d007572	NA	salmon
Zm00001d008303	NA	salmon
Zm00001d008311	NA	salmon
Zm00001d008349	NA	salmon
Zm00001d008510	NA	salmon
Zm00001d008759	NA	salmon
Zm00001d009034	NA	salmon
Zm00001d009041	NA	salmon
Zm00001d009070	NA	salmon
Zm00001d009082	NA	salmon
Zm00001d009083	NA	salmon
Zm00001d009365	NA	salmon
Zm00001d009478	NA	salmon
Zm00001d009752	NA	salmon
Zm00001d009962	NA	salmon
Zm00001d010039	NA	salmon
Zm00001d010210	NA	salmon
Zm00001d010290	NA	salmon
Zm00001d010305	NA	salmon
Zm00001d010503	NA	salmon
Zm00001d010744	NA	salmon
Zm00001d010793	NA	salmon
Zm00001d010899	NA	salmon
Zm00001d011137	NA	salmon
Zm00001d011219	NA	salmon
Zm00001d011246	NA	salmon
Zm00001d011358	NA	salmon
Zm00001d011687	NA	salmon
Zm00001d011688	NA	salmon
Zm00001d011754	NA	salmon
Zm00001d011819	NA	salmon
Zm00001d011990	NA	salmon
Zm00001d011991	NA	salmon
Zm00001d012032	NA	salmon
Zm00001d012035	NA	salmon
Zm00001d012064	NA	salmon
Zm00001d012085	NA	salmon
Zm00001d012098	NA	salmon
Zm00001d012100	NA	salmon
Zm00001d012128	NA	salmon
Zm00001d012323	NA	salmon
Zm00001d012328	NA	salmon
Zm00001d012329	NA	salmon
Zm00001d012332	NA	salmon
Zm00001d012341	NA	salmon
Zm00001d012443	NA	salmon
Zm00001d012479	NA	salmon
Zm00001d012603	NA	salmon
Zm00001d012605	NA	salmon
Zm00001d012696	NA	salmon
Zm00001d012754	NA	salmon
Zm00001d012880	NA	salmon
Zm00001d012932	NA	salmon
Zm00001d012975	NA	salmon
Zm00001d012995	NA	salmon
Zm00001d013012	NA	salmon
Zm00001d013033	NA	salmon
Zm00001d013035	NA	salmon
Zm00001d013036	NA	salmon
Zm00001d013101	NA	salmon
Zm00001d013111	NA	salmon
Zm00001d013164	NA	salmon
Zm00001d013165	NA	salmon
Zm00001d013184	NA	salmon
Zm00001d013234	NA	salmon
Zm00001d013348	NA	salmon
Zm00001d013406	NA	salmon
Zm00001d013486	NA	salmon
Zm00001d013651	NA	salmon
Zm00001d013669	NA	salmon
Zm00001d013728	NA	salmon
Zm00001d013790	NA	salmon
Zm00001d013800	NA	salmon
Zm00001d013801	NA	salmon
Zm00001d013831	NA	salmon
Zm00001d013857	NA	salmon
Zm00001d014383	NA	salmon
Zm00001d014515	NA	salmon
Zm00001d014542	NA	salmon
Zm00001d015004	NA	salmon
Zm00001d015212	NA	salmon
Zm00001d015242	NA	salmon
Zm00001d015262	NA	salmon
Zm00001d015278	NA	salmon
Zm00001d015362	NA	salmon
Zm00001d016080	NA	salmon
Zm00001d016083	NA	salmon
Zm00001d016087	NA	salmon
Zm00001d016122	NA	salmon
Zm00001d016183	NA	salmon
Zm00001d016312	NA	salmon
Zm00001d016679	NA	salmon
Zm00001d016860	NA	salmon
Zm00001d016912	NA	salmon
Zm00001d016946	NA	salmon
Zm00001d016953	NA	salmon
Zm00001d017086	NA	salmon
Zm00001d017393	NA	salmon
Zm00001d017493	NA	salmon
Zm00001d017504	NA	salmon
Zm00001d017959	NA	salmon
Zm00001d018011	NA	salmon
Zm00001d018830	NA	salmon
Zm00001d018833	NA	salmon
Zm00001d018942	NA	salmon
Zm00001d019006	NA	salmon
Zm00001d019040	NA	salmon
Zm00001d019084	NA	salmon
