nodeName	altName	nodeAttr[nodesPresent, ]
Zm00001d001820	NA	tan
Zm00001d002091	NA	tan
Zm00001d002146	NA	tan
Zm00001d002452	NA	tan
Zm00001d002454	NA	tan
Zm00001d002548	NA	tan
Zm00001d002603	NA	tan
Zm00001d002850	NA	tan
Zm00001d002934	NA	tan
Zm00001d003184	NA	tan
Zm00001d003186	NA	tan
Zm00001d003187	NA	tan
Zm00001d003315	NA	tan
Zm00001d003317	NA	tan
Zm00001d003394	NA	tan
Zm00001d003436	NA	tan
Zm00001d003510	NA	tan
Zm00001d003563	NA	tan
Zm00001d003583	NA	tan
Zm00001d003763	NA	tan
Zm00001d003807	NA	tan
Zm00001d003913	NA	tan
Zm00001d004022	NA	tan
Zm00001d004033	NA	tan
Zm00001d004125	NA	tan
Zm00001d004524	NA	tan
Zm00001d004651	NA	tan
Zm00001d004721	NA	tan
Zm00001d004725	NA	tan
Zm00001d004729	NA	tan
Zm00001d004925	NA	tan
Zm00001d005051	NA	tan
Zm00001d005105	NA	tan
Zm00001d005270	NA	tan
Zm00001d005424	NA	tan
Zm00001d005546	NA	tan
Zm00001d005547	NA	tan
Zm00001d005627	NA	tan
Zm00001d005901	NA	tan
Zm00001d006109	NA	tan
Zm00001d006131	NA	tan
Zm00001d006373	NA	tan
Zm00001d006422	NA	tan
Zm00001d006524	NA	tan
Zm00001d006571	NA	tan
Zm00001d006710	NA	tan
Zm00001d006828	NA	tan
Zm00001d006875	NA	tan
Zm00001d006933	NA	tan
Zm00001d007341	NA	tan
Zm00001d007395	NA	tan
Zm00001d007397	NA	tan
Zm00001d007441	NA	tan
Zm00001d007448	NA	tan
Zm00001d007653	NA	tan
Zm00001d007700	NA	tan
Zm00001d007705	NA	tan
Zm00001d007956	NA	tan
Zm00001d007973	NA	tan
Zm00001d008173	NA	tan
Zm00001d008176	NA	tan
Zm00001d008432	NA	tan
Zm00001d008567	NA	tan
Zm00001d008602	NA	tan
Zm00001d008930	NA	tan
Zm00001d008934	NA	tan
Zm00001d009010	NA	tan
Zm00001d009032	NA	tan
Zm00001d009205	NA	tan
Zm00001d009212	NA	tan
Zm00001d009222	NA	tan
Zm00001d009578	NA	tan
Zm00001d009823	NA	tan
Zm00001d009957	NA	tan
Zm00001d010169	NA	tan
Zm00001d010395	NA	tan
Zm00001d010396	NA	tan
Zm00001d010422	NA	tan
Zm00001d010540	NA	tan
Zm00001d010556	NA	tan
Zm00001d010638	NA	tan
Zm00001d010785	NA	tan
Zm00001d010796	NA	tan
Zm00001d010911	NA	tan
Zm00001d010924	NA	tan
Zm00001d011066	NA	tan
Zm00001d011352	NA	tan
Zm00001d011377	NA	tan
Zm00001d011442	NA	tan
Zm00001d011468	NA	tan
Zm00001d011642	NA	tan
Zm00001d011747	NA	tan
Zm00001d011793	NA	tan
Zm00001d011903	NA	tan
Zm00001d011922	NA	tan
Zm00001d011958	NA	tan
Zm00001d012005	NA	tan
Zm00001d012021	NA	tan
Zm00001d012049	NA	tan
Zm00001d012173	NA	tan
Zm00001d012280	NA	tan
Zm00001d012428	NA	tan
Zm00001d012452	NA	tan
Zm00001d012719	NA	tan
Zm00001d012728	NA	tan
Zm00001d012757	NA	tan
Zm00001d012991	NA	tan
Zm00001d013038	NA	tan
Zm00001d013147	NA	tan
Zm00001d013522	NA	tan
Zm00001d013732	NA	tan
Zm00001d013751	NA	tan
Zm00001d013816	NA	tan
Zm00001d013920	NA	tan
Zm00001d014102	NA	tan
Zm00001d014152	NA	tan
Zm00001d014191	NA	tan
Zm00001d014217	NA	tan
Zm00001d014412	NA	tan
Zm00001d014472	NA	tan
Zm00001d014485	NA	tan
Zm00001d014603	NA	tan
Zm00001d014797	NA	tan
Zm00001d014835	NA	tan
Zm00001d014887	NA	tan
Zm00001d014976	NA	tan
Zm00001d014989	NA	tan
Zm00001d015153	NA	tan
Zm00001d015400	NA	tan
Zm00001d015476	NA	tan
Zm00001d015778	NA	tan
Zm00001d015900	NA	tan
Zm00001d015968	NA	tan
Zm00001d016035	NA	tan
Zm00001d016054	NA	tan
Zm00001d016154	NA	tan
Zm00001d016203	NA	tan
Zm00001d016535	NA	tan
Zm00001d016823	NA	tan
Zm00001d016855	NA	tan
Zm00001d016866	NA	tan
Zm00001d017072	NA	tan
Zm00001d017458	NA	tan
Zm00001d017650	NA	tan
Zm00001d017712	NA	tan
Zm00001d017726	NA	tan
Zm00001d017804	NA	tan
Zm00001d017808	NA	tan
Zm00001d017908	NA	tan
Zm00001d018203	NA	tan
Zm00001d018312	NA	tan
Zm00001d018324	NA	tan
Zm00001d018369	NA	tan
Zm00001d018420	NA	tan
Zm00001d018422	NA	tan
Zm00001d018508	NA	tan
Zm00001d018634	NA	tan
Zm00001d018710	NA	tan
Zm00001d018711	NA	tan
Zm00001d018911	NA	tan
Zm00001d018966	NA	tan
Zm00001d018983	NA	tan
