nodeName	altName	nodeAttr[nodesPresent, ]
Zm00001d001786	NA	turquoise
Zm00001d001834	NA	turquoise
Zm00001d001865	NA	turquoise
Zm00001d001905	NA	turquoise
Zm00001d001960	NA	turquoise
Zm00001d001993	NA	turquoise
Zm00001d002016	NA	turquoise
Zm00001d002018	NA	turquoise
Zm00001d002019	NA	turquoise
Zm00001d002020	NA	turquoise
Zm00001d002039	NA	turquoise
Zm00001d002055	NA	turquoise
Zm00001d002072	NA	turquoise
Zm00001d002119	NA	turquoise
Zm00001d002133	NA	turquoise
Zm00001d002159	NA	turquoise
Zm00001d002161	NA	turquoise
Zm00001d002168	NA	turquoise
Zm00001d002191	NA	turquoise
Zm00001d002288	NA	turquoise
Zm00001d002290	NA	turquoise
Zm00001d002315	NA	turquoise
Zm00001d002378	NA	turquoise
Zm00001d002416	NA	turquoise
Zm00001d002422	NA	turquoise
Zm00001d002494	NA	turquoise
Zm00001d002514	NA	turquoise
Zm00001d002532	NA	turquoise
Zm00001d002536	NA	turquoise
Zm00001d002541	NA	turquoise
Zm00001d002556	NA	turquoise
Zm00001d002557	NA	turquoise
Zm00001d002623	NA	turquoise
Zm00001d002641	NA	turquoise
Zm00001d002675	NA	turquoise
Zm00001d002698	NA	turquoise
Zm00001d002699	NA	turquoise
Zm00001d002704	NA	turquoise
Zm00001d002708	NA	turquoise
Zm00001d002731	NA	turquoise
Zm00001d002736	NA	turquoise
Zm00001d002755	NA	turquoise
Zm00001d002760	NA	turquoise
Zm00001d002761	NA	turquoise
Zm00001d002776	NA	turquoise
Zm00001d002790	NA	turquoise
Zm00001d002803	NA	turquoise
Zm00001d002830	NA	turquoise
Zm00001d002834	NA	turquoise
Zm00001d002844	NA	turquoise
Zm00001d002845	NA	turquoise
Zm00001d002946	NA	turquoise
Zm00001d002974	NA	turquoise
Zm00001d003016	NA	turquoise
Zm00001d003069	NA	turquoise
Zm00001d003112	NA	turquoise
Zm00001d003140	NA	turquoise
Zm00001d003162	NA	turquoise
Zm00001d003188	NA	turquoise
Zm00001d003191	NA	turquoise
Zm00001d003209	NA	turquoise
Zm00001d003228	NA	turquoise
Zm00001d003262	NA	turquoise
Zm00001d003264	NA	turquoise
Zm00001d003281	NA	turquoise
Zm00001d003292	NA	turquoise
Zm00001d003296	NA	turquoise
Zm00001d003301	NA	turquoise
Zm00001d003304	NA	turquoise
Zm00001d003316	NA	turquoise
Zm00001d003319	NA	turquoise
Zm00001d003343	NA	turquoise
Zm00001d003376	NA	turquoise
Zm00001d003377	NA	turquoise
Zm00001d003417	NA	turquoise
Zm00001d003463	NA	turquoise
Zm00001d003483	NA	turquoise
Zm00001d003553	NA	turquoise
Zm00001d003584	NA	turquoise
Zm00001d003593	NA	turquoise
Zm00001d003607	NA	turquoise
Zm00001d003657	NA	turquoise
Zm00001d003666	NA	turquoise
Zm00001d003675	NA	turquoise
Zm00001d003676	NA	turquoise
Zm00001d003716	NA	turquoise
Zm00001d003717	NA	turquoise
Zm00001d003743	NA	turquoise
Zm00001d003773	NA	turquoise
Zm00001d003777	NA	turquoise
Zm00001d003800	NA	turquoise
Zm00001d003851	NA	turquoise
Zm00001d003928	NA	turquoise
Zm00001d003931	NA	turquoise
Zm00001d003962	NA	turquoise
Zm00001d003980	NA	turquoise
Zm00001d003981	NA	turquoise
Zm00001d004078	NA	turquoise
Zm00001d004079	NA	turquoise
Zm00001d004134	NA	turquoise
Zm00001d004197	NA	turquoise
Zm00001d004248	NA	turquoise
Zm00001d004308	NA	turquoise
Zm00001d004355	NA	turquoise
Zm00001d004361	NA	turquoise
Zm00001d004364	NA	turquoise
Zm00001d004371	NA	turquoise
Zm00001d004384	NA	turquoise
Zm00001d004438	NA	turquoise
Zm00001d004442	NA	turquoise
Zm00001d004452	NA	turquoise
Zm00001d004467	NA	turquoise
Zm00001d004473	NA	turquoise
Zm00001d004495	NA	turquoise
Zm00001d004555	NA	turquoise
Zm00001d004559	NA	turquoise
Zm00001d004592	NA	turquoise
Zm00001d004624	NA	turquoise
Zm00001d004630	NA	turquoise
Zm00001d004738	NA	turquoise
Zm00001d004769	NA	turquoise
Zm00001d004894	NA	turquoise
Zm00001d004931	NA	turquoise
Zm00001d005004	NA	turquoise
Zm00001d005008	NA	turquoise
Zm00001d005083	NA	turquoise
Zm00001d005087	NA	turquoise
Zm00001d005094	NA	turquoise
Zm00001d005158	NA	turquoise
Zm00001d005177	NA	turquoise
Zm00001d005252	NA	turquoise
