nodeName	altName	nodeAttr[nodesPresent, ]
Zm00001d001964	NA	white
Zm00001d003181	NA	white
Zm00001d004006	NA	white
Zm00001d005082	NA	white
Zm00001d005871	NA	white
Zm00001d005885	NA	white
Zm00001d006097	NA	white
Zm00001d007910	NA	white
Zm00001d008251	NA	white
Zm00001d009060	NA	white
Zm00001d009224	NA	white
Zm00001d009510	NA	white
Zm00001d009716	NA	white
Zm00001d010434	NA	white
Zm00001d011225	NA	white
Zm00001d011912	NA	white
Zm00001d012679	NA	white
Zm00001d013178	NA	white
Zm00001d013873	NA	white
Zm00001d014201	NA	white
Zm00001d014282	NA	white
Zm00001d014758	NA	white
Zm00001d014971	NA	white
Zm00001d015213	NA	white
Zm00001d015715	NA	white
Zm00001d016031	NA	white
Zm00001d016564	NA	white
Zm00001d017036	NA	white
Zm00001d017203	NA	white
Zm00001d017535	NA	white
Zm00001d018024	NA	white
Zm00001d018322	NA	white
Zm00001d018708	NA	white
